#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD44	EGF	9606.ENSP00000398632	9606.ENSP00000265171	0	0	0	0	0	0	0	0.863	0.863
CD44	ERBB2	9606.ENSP00000398632	9606.ENSP00000269571	0	0	0	0	0	0.739	0.800	0.989	0.999
CD44	EGFR	9606.ENSP00000398632	9606.ENSP00000275493	0	0	0	0	0.099	0.753	0	0.989	0.997
CD44	HSP90AA1	9606.ENSP00000398632	9606.ENSP00000335153	0	0	0	0	0	0	0	0.525	0.526
CD44	CTNNB1	9606.ENSP00000398632	9606.ENSP00000344456	0	0	0	0	0.044	0	0	0.769	0.769
CD44	GRB2	9606.ENSP00000398632	9606.ENSP00000376345	0	0	0	0	0	0	0	0.755	0.755
CTNNB1	EGF	9606.ENSP00000344456	9606.ENSP00000265171	0	0	0	0	0	0.116	0.900	0.782	0.979
CTNNB1	ERBB2	9606.ENSP00000344456	9606.ENSP00000269571	0	0	0	0	0	0.760	0.900	0.989	0.999
CTNNB1	EGFR	9606.ENSP00000344456	9606.ENSP00000275493	0	0	0	0	0.062	0.789	0.900	0.990	0.999
CTNNB1	HSP90AA1	9606.ENSP00000344456	9606.ENSP00000335153	0	0	0	0	0.056	0.176	0	0.627	0.685
CTNNB1	SHC1	9606.ENSP00000344456	9606.ENSP00000401303	0	0	0	0	0.062	0	0	0.436	0.449
CTNNB1	GRB2	9606.ENSP00000344456	9606.ENSP00000376345	0	0	0	0	0.065	0.077	0	0.551	0.579
CTNNB1	CD44	9606.ENSP00000344456	9606.ENSP00000398632	0	0	0	0	0.044	0	0	0.769	0.769
CTNNB1	ERBB2IP	9606.ENSP00000344456	9606.ENSP00000426632	0	0	0	0	0.073	0.243	0	0.880	0.909
EGF	CD44	9606.ENSP00000265171	9606.ENSP00000398632	0	0	0	0	0	0	0	0.863	0.863
EGF	ERBB2IP	9606.ENSP00000265171	9606.ENSP00000426632	0	0	0	0	0	0.056	0.900	0.223	0.920
EGF	HSP90AA1	9606.ENSP00000265171	9606.ENSP00000335153	0	0	0	0	0	0.057	0.900	0.523	0.951
EGF	NRG1	9606.ENSP00000265171	9606.ENSP00000384620	0	0	0	0	0	0.658	0.500	0.850	0.972
EGF	CTNNB1	9606.ENSP00000265171	9606.ENSP00000344456	0	0	0	0	0	0.116	0.900	0.782	0.979
EGF	SHC1	9606.ENSP00000265171	9606.ENSP00000401303	0	0	0	0	0	0.270	0.900	0.834	0.986
EGF	GRB2	9606.ENSP00000265171	9606.ENSP00000376345	0	0	0	0	0	0.225	0.900	0.980	0.998
EGF	ERBB2	9606.ENSP00000265171	9606.ENSP00000269571	0	0	0	0	0.160	0.321	0.900	0.989	0.999
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0	0	0	0.160	0.982	0.900	0.991	0.999
EGFR	EGF	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0.160	0.982	0.900	0.991	0.999
EGFR	ERBB2	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0	0.941	0.077	0.982	0.900	0.990	0.998
EGFR	ERBB2IP	9606.ENSP00000275493	9606.ENSP00000426632	0	0	0	0	0	0.142	0.900	0.788	0.980
EGFR	GRB7	9606.ENSP00000275493	9606.ENSP00000403459	0	0	0	0	0.098	0.401	0	0.968	0.981
EGFR	CD44	9606.ENSP00000275493	9606.ENSP00000398632	0	0	0	0	0.099	0.753	0	0.989	0.997
EGFR	NRG1	9606.ENSP00000275493	9606.ENSP00000384620	0	0	0	0	0.076	0.754	0.900	0.990	0.999
EGFR	SHC1	9606.ENSP00000275493	9606.ENSP00000401303	0	0	0	0	0.069	0.994	0.900	0.991	0.999
EGFR	GRB2	9606.ENSP00000275493	9606.ENSP00000376345	0	0	0	0	0	0.998	0.900	0.993	0.999
EGFR	HSP90AA1	9606.ENSP00000275493	9606.ENSP00000335153	0	0	0	0	0	0.884	0.900	0.989	0.999
EGFR	CTNNB1	9606.ENSP00000275493	9606.ENSP00000344456	0	0	0	0	0.062	0.789	0.900	0.990	0.999
ERBB2	EGF	9606.ENSP00000269571	9606.ENSP00000265171	0	0	0	0	0.160	0.321	0.900	0.989	0.999
ERBB2	EGFR	9606.ENSP00000269571	9606.ENSP00000275493	0	0	0	0.941	0.077	0.982	0.900	0.990	0.998
ERBB2	GRB2	9606.ENSP00000269571	9606.ENSP00000376345	0	0	0	0	0.062	0.956	0.900	0.993	0.999
ERBB2	HSP90AA1	9606.ENSP00000269571	9606.ENSP00000335153	0	0	0	0	0	0.907	0.900	0.989	0.999
ERBB2	CTNNB1	9606.ENSP00000269571	9606.ENSP00000344456	0	0	0	0	0	0.760	0.900	0.989	0.999
