#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCND1	NCOR1	9606.ENSP00000227507	9606.ENSP00000268712	0	0	0	0	0	0	0	0.421	0.420
CCND1	SP1	9606.ENSP00000227507	9606.ENSP00000329357	0	0	0	0	0	0.281	0	0.518	0.638
CCND1	IGF1R	9606.ENSP00000227507	9606.ENSP00000268035	0	0	0	0	0	0	0	0.665	0.665
CCND1	NCOA3	9606.ENSP00000227507	9606.ENSP00000361066	0	0	0	0	0	0.270	0	0.649	0.733
CCND1	HSP90AA1	9606.ENSP00000227507	9606.ENSP00000335153	0	0	0	0	0	0.130	0	0.880	0.891
CCND1	JUN	9606.ENSP00000227507	9606.ENSP00000360266	0	0	0	0	0	0.270	0.900	0.774	0.982
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0	0	0	0.062	0.835	0.900	0.754	0.995
CCND1	ESR1	9606.ENSP00000227507	9606.ENSP00000405330	0	0	0	0	0	0.867	0.900	0.987	0.999
EP300	CCND1	9606.ENSP00000263253	9606.ENSP00000227507	0	0	0	0	0.062	0.835	0.900	0.754	0.995
EP300	IGF1R	9606.ENSP00000263253	9606.ENSP00000268035	0	0	0	0	0.062	0.178	0	0.351	0.456
EP300	HSP90AA1	9606.ENSP00000263253	9606.ENSP00000335153	0	0.005	0	0	0	0.285	0	0.475	0.609
EP300	MED1	9606.ENSP00000263253	9606.ENSP00000300651	0	0	0	0	0.080	0.056	0.900	0.580	0.958
EP300	PELP1	9606.ENSP00000263253	9606.ENSP00000301396	0	0	0	0	0.062	0.270	0.900	0.585	0.967
EP300	NCOR1	9606.ENSP00000263253	9606.ENSP00000268712	0	0	0	0	0.425	0.500	0.900	0.661	0.988
EP300	JUN	9606.ENSP00000263253	9606.ENSP00000360266	0	0	0	0	0	0.910	0.900	0.922	0.999
EP300	NCOA3	9606.ENSP00000263253	9606.ENSP00000361066	0	0	0	0	0.065	0.893	0.900	0.982	0.999
EP300	ESR1	9606.ENSP00000263253	9606.ENSP00000405330	0	0	0	0	0	0.929	0.900	0.988	0.999
EP300	SP1	9606.ENSP00000263253	9606.ENSP00000329357	0	0	0	0	0.125	0.916	0.900	0.974	0.999
ESR1	CCND1	9606.ENSP00000405330	9606.ENSP00000227507	0	0	0	0	0	0.867	0.900	0.987	0.999
ESR1	EP300	9606.ENSP00000405330	9606.ENSP00000263253	0	0	0	0	0	0.929	0.900	0.988	0.999
ESR1	IGF1R	9606.ENSP00000405330	9606.ENSP00000268035	0	0	0	0	0	0.774	0.900	0.989	0.999
ESR1	NCOR1	9606.ENSP00000405330	9606.ENSP00000268712	0	0	0	0	0	0.797	0.900	0.988	0.999
ESR1	MED1	9606.ENSP00000405330	9606.ENSP00000300651	0	0	0	0	0	0.882	0.900	0.961	0.999
ESR1	PELP1	9606.ENSP00000405330	9606.ENSP00000301396	0	0	0	0	0	0.569	0.900	0.986	0.999
ESR1	SP1	9606.ENSP00000405330	9606.ENSP00000329357	0	0	0	0	0.062	0.900	0.800	0.988	0.999
ESR1	HSP90AA1	9606.ENSP00000405330	9606.ENSP00000335153	0	0	0	0	0	0.887	0.600	0.989	0.999
ESR1	JUN	9606.ENSP00000405330	9606.ENSP00000360266	0	0	0	0	0	0.684	0.900	0.988	0.999
ESR1	NCOA3	9606.ENSP00000405330	9606.ENSP00000361066	0	0	0	0	0.065	0.928	0.900	0.989	0.999
HSP90AA1	CCND1	9606.ENSP00000335153	9606.ENSP00000227507	0	0	0	0	0	0.130	0	0.880	0.891
HSP90AA1	EP300	9606.ENSP00000335153	9606.ENSP00000263253	0	0.005	0	0	0	0.285	0	0.475	0.609
HSP90AA1	IGF1R	9606.ENSP00000335153	9606.ENSP00000268035	0	0	0	0	0.054	0.286	0	0.850	0.890
HSP90AA1	SP1	9606.ENSP00000335153	9606.ENSP00000329357	0	0	0	0	0.082	0.496	0	0.469	0.733
HSP90AA1	NCOA3	9606.ENSP00000335153	9606.ENSP00000361066	0	0	0	0	0.063	0.078	0	0.476	0.507
HSP90AA1	JUN	9606.ENSP00000335153	9606.ENSP00000360266	0	0	0	0	0.062	0.218	0	0.692	0.755
HSP90AA1	ESR1	9606.ENSP00000335153	9606.ENSP00000405330	0	0	0	0	0	0.887	0.600	0.989	0.999
IGF1R	CCND1	9606.ENSP00000268035	9606.ENSP00000227507	0	0	0	0	0	0	0	0.665	0.665
IGF1R	EP300	9606.ENSP00000268035	9606.ENSP00000263253	0	0	0	0	0.062	0.178	0	0.351	0.456
IGF1R	JUN	9606.ENSP00000268035	9606.ENSP00000360266	0	0	0	0	0	0.057	0	0.530	0.537
IGF1R	HSP90AA1	9606.ENSP00000268035	9606.ENSP00000335153	0	0	0	0	0.054	0.286	0	0.850	0.890
IGF1R	PELP1	9606.ENSP00000268035	9606.ENSP00000301396	0	0	0	0	0	0.056	0.900	0.294	0.927
IGF1R	ESR1	9606.ENSP00000268035	9606.ENSP00000405330	0	0	0	0	0	0.774	0.900	0.989	0.999
JUN	CCND1	9606.ENSP00000360266	9606.ENSP00000227507	0	0	0	0	0	0.270	0.900	0.774	0.982
JUN	EP300	9606.ENSP00000360266	9606.ENSP00000263253	0	0	0	0	0	0.910	0.900	0.922	0.999
JUN	IGF1R	9606.ENSP00000360266	9606.ENSP00000268035	0	0	0	0	0	0.057	0	0.530	0.537
JUN	NCOR1	9606.ENSP00000360266	9606.ENSP00000268712	0	0	0	0	0	0.348	0	0.891	0.926
JUN	MED1	9606.ENSP00000360266	9606.ENSP00000300651	0	0	0	0	0	0	0.800	0.150	0.822
JUN	SP1	9606.ENSP00000360266	9606.ENSP00000329357	0	0	0	0	0	0.855	0.900	0.929	0.998
JUN	HSP90AA1	9606.ENSP00000360266	9606.ENSP00000335153	0	0	0	0	0.062	0.218	0	0.692	0.755
JUN	NCOA3	9606.ENSP00000360266	9606.ENSP00000361066	0	0	0	0	0	0.213	0.800	0.414	0.899
JUN	ESR1	9606.ENSP00000360266	9606.ENSP00000405330	0	0	0	0	0	0.684	0.900	0.988	0.999
MED1	EP300	9606.ENSP00000300651	9606.ENSP00000263253	0	0	0	0	0.080	0.056	0.900	0.580	0.958
MED1	NCOR1	9606.ENSP00000300651	9606.ENSP00000268712	0	0	0	0	0.110	0	0.650	0.619	0.871
MED1	JUN	9606.ENSP00000300651	9606.ENSP00000360266	0	0	0	0	0	0	0.800	0.150	0.822
MED1	SP1	9606.ENSP00000300651	9606.ENSP00000329357	0	0	0	0	0.115	0	0.800	0.180	0.842
MED1	NCOA3	9606.ENSP00000300651	9606.ENSP00000361066	0	0	0	0	0.114	0	0.800	0.673	0.937
MED1	ESR1	9606.ENSP00000300651	9606.ENSP00000405330	0	0	0	0	0	0.882	0.900	0.961	0.999
NCOA3	CCND1	9606.ENSP00000361066	9606.ENSP00000227507	0	0	0	0	0	0.270	0	0.649	0.733
NCOA3	EP300	9606.ENSP00000361066	9606.ENSP00000263253	0	0	0	0	0.065	0.893	0.900	0.982	0.999
NCOA3	NCOR1	9606.ENSP00000361066	9606.ENSP00000268712	0	0	0	0	0.081	0.313	0.900	0.719	0.980
NCOA3	MED1	9606.ENSP00000361066	9606.ENSP00000300651	0	0	0	0	0.114	0	0.800	0.673	0.937
NCOA3	PELP1	9606.ENSP00000361066	9606.ENSP00000301396	0	0	0	0	0	0	0	0.577	0.577
NCOA3	SP1	9606.ENSP00000361066	9606.ENSP00000329357	0	0	0	0	0.107	0.060	0.800	0.418	0.889
NCOA3	HSP90AA1	9606.ENSP00000361066	9606.ENSP00000335153	0	0	0	0	0.063	0.078	0	0.476	0.507
NCOA3	JUN	9606.ENSP00000361066	9606.ENSP00000360266	0	0	0	0	0	0.213	0.800	0.414	0.899
NCOA3	ESR1	9606.ENSP00000361066	9606.ENSP00000405330	0	0	0	0	0.065	0.928	0.900	0.989	0.999
NCOR1	CCND1	9606.ENSP00000268712	9606.ENSP00000227507	0	0	0	0	0	0	0	0.421	0.420
NCOR1	EP300	9606.ENSP00000268712	9606.ENSP00000263253	0	0	0	0	0.425	0.500	0.900	0.661	0.988
NCOR1	SP1	9606.ENSP00000268712	9606.ENSP00000329357	0	0	0	0	0.049	0.349	0	0.260	0.501
