#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKN2A	MDM2	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.913	0.900	0.989	0.999
CDKN2A	EP300	9606.ENSP00000418915	9606.ENSP00000263253	0	0	0	0	0	0.146	0	0.561	0.609
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.897	0.900	0.915	0.999
CDKN2A	USP7	9606.ENSP00000418915	9606.ENSP00000343535	0	0	0	0	0.063	0.102	0.650	0.359	0.785
CDKN2A	MDM4	9606.ENSP00000418915	9606.ENSP00000356150	0	0	0	0	0	0.443	0.600	0.853	0.964
CDKN2A	DAXX	9606.ENSP00000418915	9606.ENSP00000363668	0	0	0	0	0.049	0.270	0	0.421	0.562
CDKN2A	RPL11	9606.ENSP00000418915	9606.ENSP00000363676	0	0	0	0	0	0.494	0	0.819	0.904
CDKN2A	TP73	9606.ENSP00000418915	9606.ENSP00000367545	0	0	0	0	0	0.056	0	0.561	0.567
DAXX	MDM2	9606.ENSP00000363668	9606.ENSP00000258149	0	0	0	0	0	0.881	0.900	0.989	0.999
DAXX	TP53	9606.ENSP00000363668	9606.ENSP00000269305	0	0	0	0	0.062	0.894	0.800	0.966	0.999
DAXX	USP7	9606.ENSP00000363668	9606.ENSP00000343535	0	0	0	0	0.065	0.759	0.900	0.988	0.999
DAXX	MDM4	9606.ENSP00000363668	9606.ENSP00000356150	0	0	0	0	0	0.297	0.600	0.340	0.798
DAXX	CDKN2A	9606.ENSP00000363668	9606.ENSP00000418915	0	0	0	0	0.049	0.270	0	0.421	0.562
DAXX	TP73	9606.ENSP00000363668	9606.ENSP00000367545	0	0	0	0	0	0.600	0	0.123	0.634
EP300	MDM2	9606.ENSP00000263253	9606.ENSP00000258149	0	0	0	0	0	0.874	0.900	0.989	0.999
EP300	MDM4	9606.ENSP00000263253	9606.ENSP00000356150	0	0	0	0	0.062	0.270	0	0.370	0.530
EP300	CDKN2A	9606.ENSP00000263253	9606.ENSP00000418915	0	0	0	0	0	0.146	0	0.561	0.609
EP300	USP7	9606.ENSP00000263253	9606.ENSP00000343535	0	0	0	0	0.122	0.092	0.600	0.403	0.784
EP300	UBE2D1	9606.ENSP00000263253	9606.ENSP00000363019	0	0	0	0	0	0.494	0.900	0.171	0.954
EP300	TP73	9606.ENSP00000263253	9606.ENSP00000367545	0	0	0	0	0.066	0.875	0.900	0.665	0.995
EP300	TP53	9606.ENSP00000263253	9606.ENSP00000269305	0	0	0	0	0	0.998	0.900	0.989	0.999
MDM2	USP7	9606.ENSP00000258149	9606.ENSP00000343535	0	0	0	0	0.062	0.920	0.900	0.989	0.999
MDM2	RPL11	9606.ENSP00000258149	9606.ENSP00000363676	0	0	0	0	0	0.983	0.900	0.990	0.999
MDM2	MDM4	9606.ENSP00000258149	9606.ENSP00000356150	0	0	0	0.795	0.083	0.998	0.900	0.992	0.999
MDM2	RPL5	9606.ENSP00000258149	9606.ENSP00000359345	0	0	0	0	0	0.922	0.900	0.990	0.999
MDM2	CDKN2A	9606.ENSP00000258149	9606.ENSP00000418915	0	0	0	0	0	0.913	0.900	0.989	0.999
MDM2	DAXX	9606.ENSP00000258149	9606.ENSP00000363668	0	0	0	0	0	0.881	0.900	0.989	0.999
MDM2	UBE2D1	9606.ENSP00000258149	9606.ENSP00000363019	0	0	0	0	0	0.992	0.900	0.913	0.999
MDM2	TP53	9606.ENSP00000258149	9606.ENSP00000269305	0	0	0	0	0.240	0.998	0.900	0.995	0.999
MDM2	EP300	9606.ENSP00000258149	9606.ENSP00000263253	0	0	0	0	0	0.874	0.900	0.989	0.999
MDM2	TP73	9606.ENSP00000258149	9606.ENSP00000367545	0	0	0	0	0	0.981	0.900	0.857	0.999
MDM4	MDM2	9606.ENSP00000356150	9606.ENSP00000258149	0	0	0	0.795	0.083	0.998	0.900	0.992	0.999
MDM4	EP300	9606.ENSP00000356150	9606.ENSP00000263253	0	0	0	0	0.062	0.270	0	0.370	0.530
MDM4	TP53	9606.ENSP00000356150	9606.ENSP00000269305	0	0	0	0	0.138	0.998	0.800	0.990	0.999
MDM4	USP7	9606.ENSP00000356150	9606.ENSP00000343535	0	0	0	0	0.055	0.882	0.600	0.981	0.999
MDM4	RPL5	9606.ENSP00000356150	9606.ENSP00000359345	0	0	0	0	0	0.102	0	0.403	0.441
MDM4	RPL11	9606.ENSP00000356150	9606.ENSP00000363676	0	0	0	0	0	0.101	0	0.480	0.513
MDM4	UBE2D1	9606.ENSP00000356150	9606.ENSP00000363019	0	0	0	0	0	0.494	0	0.494	0.733
MDM4	DAXX	9606.ENSP00000356150	9606.ENSP00000363668	0	0	0	0	0	0.297	0.600	0.340	0.798
MDM4	TP73	9606.ENSP00000356150	9606.ENSP00000367545	0	0	0	0	0	0.790	0	0.519	0.895
