#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
EGF,ZFYVE28,9606.ENSP00000265171,9606.ENSP00000290974,0,0,0,0,0,0.273,0.900,0.076,0.926
EGF,SOS1,9606.ENSP00000265171,9606.ENSP00000387784,0,0,0,0,0,0,0.900,0.469,0.944
EGF,GRB2,9606.ENSP00000265171,9606.ENSP00000376345,0,0,0,0,0,0.225,0.900,0.980,0.998
EGF,EGFR,9606.ENSP00000265171,9606.ENSP00000275493,0,0,0,0,0.160,0.982,0.900,0.991,0.999
EGFR,EGF,9606.ENSP00000275493,9606.ENSP00000265171,0,0,0,0,0.160,0.982,0.900,0.991,0.999
EGFR,EPS8L3,9606.ENSP00000275493,9606.ENSP00000358820,0,0,0,0,0,0,0,0.402,0.403
EGFR,ZFYVE28,9606.ENSP00000275493,9606.ENSP00000290974,0,0,0,0,0,0.273,0.900,0.123,0.930
EGFR,SOS1,9606.ENSP00000275493,9606.ENSP00000387784,0,0,0,0,0.062,0.904,0.900,0.979,0.999
EGFR,GRB2,9606.ENSP00000275493,9606.ENSP00000376345,0,0,0,0,0,0.998,0.900,0.993,0.999
EPS8L3,EGFR,9606.ENSP00000358820,9606.ENSP00000275493,0,0,0,0,0,0,0,0.402,0.403
EPS8L3,ZFYVE28,9606.ENSP00000358820,9606.ENSP00000290974,0,0,0,0,0,0,0,0.709,0.709
EPS8L3,JPH1,9606.ENSP00000358820,9606.ENSP00000344488,0,0,0,0,0,0,0,0.629,0.629
EPS8L3,SOS1,9606.ENSP00000358820,9606.ENSP00000387784,0,0,0,0,0.062,0.111,0,0.470,0.520
EXD2,ZFYVE28,9606.ENSP00000313140,9606.ENSP00000290974,0,0,0,0,0.062,0,0,0.697,0.704
GRB2,EGF,9606.ENSP00000376345,9606.ENSP00000265171,0,0,0,0,0,0.225,0.900,0.980,0.998
GRB2,EGFR,9606.ENSP00000376345,9606.ENSP00000275493,0,0,0,0,0,0.998,0.900,0.993,0.999
GRB2,ZFYVE28,9606.ENSP00000376345,9606.ENSP00000290974,0,0,0,0,0,0,0.900,0.158,0.912
GRB2,SOS1,9606.ENSP00000376345,9606.ENSP00000387784,0,0,0,0,0.062,0.998,0.900,0.994,0.999
JPH1,ZFYVE28,9606.ENSP00000344488,9606.ENSP00000290974,0,0,0,0,0.062,0,0,0.689,0.696
JPH1,EPS8L3,9606.ENSP00000344488,9606.ENSP00000358820,0,0,0,0,0,0,0,0.629,0.629
MXD4,ZFYVE28,9606.ENSP00000337889,9606.ENSP00000290974,0,0,0,0,0.081,0,0,0.618,0.634
MXD4,PRELID1,9606.ENSP00000337889,9606.ENSP00000302114,0,0,0,0,0.062,0,0,0.603,0.612
PRELID1,ZFYVE28,9606.ENSP00000302114,9606.ENSP00000290974,0,0,0,0,0,0,0,0.647,0.647
PRELID1,MXD4,9606.ENSP00000302114,9606.ENSP00000337889,0,0,0,0,0.062,0,0,0.603,0.612
PRELID1,VPS37D,9606.ENSP00000302114,9606.ENSP00000320416,0,0,0,0,0,0,0,0.743,0.743
SOS1,EGF,9606.ENSP00000387784,9606.ENSP00000265171,0,0,0,0,0,0,0.900,0.469,0.944
SOS1,EGFR,9606.ENSP00000387784,9606.ENSP00000275493,0,0,0,0,0.062,0.904,0.900,0.979,0.999
SOS1,ZFYVE28,9606.ENSP00000387784,9606.ENSP00000290974,0,0,0,0,0.049,0,0.900,0.101,0.907
SOS1,EPS8L3,9606.ENSP00000387784,9606.ENSP00000358820,0,0,0,0,0.062,0.111,0,0.470,0.520
SOS1,GRB2,9606.ENSP00000387784,9606.ENSP00000376345,0,0,0,0,0.062,0.998,0.900,0.994,0.999
VPS37D,ZFYVE28,9606.ENSP00000320416,9606.ENSP00000290974,0,0,0,0,0.062,0,0,0.646,0.654
VPS37D,PRELID1,9606.ENSP00000320416,9606.ENSP00000302114,0,0,0,0,0,0,0,0.743,0.743
ZFYVE28,EGF,9606.ENSP00000290974,9606.ENSP00000265171,0,0,0,0,0,0.273,0.900,0.076,0.926
ZFYVE28,EGFR,9606.ENSP00000290974,9606.ENSP00000275493,0,0,0,0,0,0.273,0.900,0.123,0.930
ZFYVE28,MXD4,9606.ENSP00000290974,9606.ENSP00000337889,0,0,0,0,0.081,0,0,0.618,0.634
ZFYVE28,PRELID1,9606.ENSP00000290974,9606.ENSP00000302114,0,0,0,0,0,0,0,0.647,0.647
ZFYVE28,VPS37D,9606.ENSP00000290974,9606.ENSP00000320416,0,0,0,0,0.062,0,0,0.646,0.654
ZFYVE28,JPH1,9606.ENSP00000290974,9606.ENSP00000344488,0,0,0,0,0.062,0,0,0.689,0.696
ZFYVE28,EXD2,9606.ENSP00000290974,9606.ENSP00000313140,0,0,0,0,0.062,0,0,0.697,0.704
ZFYVE28,EPS8L3,9606.ENSP00000290974,9606.ENSP00000358820,0,0,0,0,0,0,0,0.709,0.709
ZFYVE28,SOS1,9606.ENSP00000290974,9606.ENSP00000387784,0,0,0,0,0.049,0,0.900,0.101,0.907
ZFYVE28,GRB2,9606.ENSP00000290974,9606.ENSP00000376345,0,0,0,0,0,0,0.900,0.158,0.912
