#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BNIP1	ZW10	9606.ENSP00000231668	9606.ENSP00000200135	0	0	0	0	0.062	0	0.600	0.859	0.942
BNIP1	GOSR2	9606.ENSP00000231668	9606.ENSP00000225567	0	0	0	0	0.062	0.153	0.720	0.614	0.902
BNIP1	STX12	9606.ENSP00000231668	9606.ENSP00000363054	0	0	0	0	0	0.494	0.720	0.204	0.877
BNIP1	STX6	9606.ENSP00000231668	9606.ENSP00000258301	0	0	0	0	0.048	0.599	0.720	0.398	0.927
BNIP1	SEC22B	9606.ENSP00000231668	9606.ENSP00000463393	0	0	0	0	0.062	0.505	0.600	0.771	0.951
BNIP1	RINT1	9606.ENSP00000231668	9606.ENSP00000257700	0	0	0	0	0	0.611	0.600	0.883	0.980
BNIP1	NAPA	9606.ENSP00000231668	9606.ENSP00000263354	0	0	0	0	0	0.429	0.600	0.925	0.981
BNIP1	ZNF787	9606.ENSP00000231668	9606.ENSP00000478557	0	0	0	0	0	0	0	0.983	0.983
BNIP1	USE1	9606.ENSP00000231668	9606.ENSP00000263897	0	0	0	0	0.063	0.783	0.800	0.808	0.991
BNIP1	STX18	9606.ENSP00000231668	9606.ENSP00000305810	0	0	0	0	0.062	0.883	0.800	0.992	0.999
GOSR2	USE1	9606.ENSP00000225567	9606.ENSP00000263897	0	0	0	0	0.067	0.241	0.360	0.714	0.853
GOSR2	BNIP1	9606.ENSP00000225567	9606.ENSP00000231668	0	0	0	0	0.062	0.153	0.720	0.614	0.902
GOSR2	STX18	9606.ENSP00000225567	9606.ENSP00000305810	0	0	0	0	0.133	0.153	0.540	0.825	0.933
GOSR2	NAPA	9606.ENSP00000225567	9606.ENSP00000263354	0	0	0	0	0.062	0.547	0.600	0.712	0.944
GOSR2	STX12	9606.ENSP00000225567	9606.ENSP00000363054	0	0	0	0	0.063	0.697	0.720	0.579	0.962
GOSR2	STX6	9606.ENSP00000225567	9606.ENSP00000258301	0	0	0	0	0.090	0.888	0.720	0.766	0.992
GOSR2	SEC22B	9606.ENSP00000225567	9606.ENSP00000463393	0	0	0	0	0.208	0.843	0.800	0.990	0.999
