#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	TBL1X	9606.ENSP00000257430	9606.ENSP00000217964	0	0	0	0	0.078	0.070	0.800	0.095	0.824
APC	SKP1	9606.ENSP00000257430	9606.ENSP00000231487	0	0	0	0	0	0	0.900	0.140	0.910
APC	BCL9	9606.ENSP00000257430	9606.ENSP00000234739	0	0	0	0	0.063	0	0.650	0.321	0.757
APC	CDH3	9606.ENSP00000257430	9606.ENSP00000264012	0	0	0	0	0	0	0.540	0.112	0.574
APC	CDH1	9606.ENSP00000257430	9606.ENSP00000261769	0	0	0	0	0	0	0.720	0.518	0.859
APC	AXIN1	9606.ENSP00000257430	9606.ENSP00000262320	0	0	0	0	0.066	0.991	0.900	0.992	0.999
APC	CTNNB1	9606.ENSP00000257430	9606.ENSP00000344456	0	0	0	0	0.065	0.998	0.900	0.994	0.999
AXIN1	SKP1	9606.ENSP00000262320	9606.ENSP00000231487	0	0	0	0	0	0	0.600	0.343	0.726
AXIN1	BCL9	9606.ENSP00000262320	9606.ENSP00000234739	0	0	0	0	0.062	0	0	0.603	0.612
AXIN1	APC	9606.ENSP00000262320	9606.ENSP00000257430	0	0	0	0	0.066	0.991	0.900	0.992	0.999
AXIN1	CDH1	9606.ENSP00000262320	9606.ENSP00000261769	0	0	0	0	0	0.057	0	0.870	0.873
AXIN1	EP300	9606.ENSP00000262320	9606.ENSP00000263253	0	0	0	0	0.065	0	0	0.458	0.471
AXIN1	CREBBP	9606.ENSP00000262320	9606.ENSP00000262367	0	0	0	0	0.065	0	0	0.493	0.505
AXIN1	CTNNB1	9606.ENSP00000262320	9606.ENSP00000344456	0	0	0	0	0.062	0.994	0.900	0.994	0.999
BCL9	AXIN1	9606.ENSP00000234739	9606.ENSP00000262320	0	0	0	0	0.062	0	0	0.603	0.612
BCL9	APC	9606.ENSP00000234739	9606.ENSP00000257430	0	0	0	0	0.063	0	0.650	0.321	0.757
BCL9	CTNNB1	9606.ENSP00000234739	9606.ENSP00000344456	0	0	0	0	0.062	0.971	0.900	0.989	0.999
CDH1	VCL	9606.ENSP00000261769	9606.ENSP00000211998	0	0	0	0	0.062	0.690	0.900	0.986	0.999
CDH1	APC	9606.ENSP00000261769	9606.ENSP00000257430	0	0	0	0	0	0	0.720	0.518	0.859
CDH1	EP300	9606.ENSP00000261769	9606.ENSP00000263253	0	0	0	0	0	0.281	0	0.458	0.593
CDH1	CDH3	9606.ENSP00000261769	9606.ENSP00000264012	0	0	0	0.955	0.223	0.270	0.540	0.860	0.727
CDH1	CREBBP	9606.ENSP00000261769	9606.ENSP00000262367	0	0	0	0	0	0.680	0	0.370	0.789
CDH1	AXIN1	9606.ENSP00000261769	9606.ENSP00000262320	0	0	0	0	0	0.057	0	0.870	0.873
CDH1	CTNNB1	9606.ENSP00000261769	9606.ENSP00000344456	0	0	0	0	0.062	0.999	0.900	0.990	0.999
CDH3	VCL	9606.ENSP00000264012	9606.ENSP00000211998	0	0	0	0	0.062	0.159	0	0.413	0.496
CDH3	APC	9606.ENSP00000264012	9606.ENSP00000257430	0	0	0	0	0	0	0.540	0.112	0.574
CDH3	CDH1	9606.ENSP00000264012	9606.ENSP00000261769	0	0	0	0.955	0.223	0.270	0.540	0.860	0.727
CDH3	CTNNB1	9606.ENSP00000264012	9606.ENSP00000344456	0	0	0	0	0.049	0.986	0.600	0.981	0.999
CREBBP	TBL1X	9606.ENSP00000262367	9606.ENSP00000217964	0	0	0	0	0.066	0.177	0.600	0.191	0.718
CREBBP	SKP1	9606.ENSP00000262367	9606.ENSP00000231487	0	0	0	0	0.062	0.060	0.650	0.273	0.745
CREBBP	CDH1	9606.ENSP00000262367	9606.ENSP00000261769	0	0	0	0	0	0.680	0	0.370	0.789
CREBBP	AXIN1	9606.ENSP00000262367	9606.ENSP00000262320	0	0	0	0	0.065	0	0	0.493	0.505
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0	0	0.957	0.835	0.805	0.900	0.989	0.996
CREBBP	CTNNB1	9606.ENSP00000262367	9606.ENSP00000344456	0	0	0	0	0.062	0.917	0.900	0.994	0.999
CTNNB1	VCL	9606.ENSP00000344456	9606.ENSP00000211998	0	0	0	0	0.063	0.755	0.900	0.993	0.999
CTNNB1	TBL1X	9606.ENSP00000344456	9606.ENSP00000217964	0	0	0	0	0.081	0.865	0.900	0.981	0.999
CTNNB1	SKP1	9606.ENSP00000344456	9606.ENSP00000231487	0	0	0	0	0.068	0.873	0.900	0.978	0.999
CTNNB1	BCL9	9606.ENSP00000344456	9606.ENSP00000234739	0	0	0	0	0.062	0.971	0.900	0.989	0.999
CTNNB1	APC	9606.ENSP00000344456	9606.ENSP00000257430	0	0	0	0	0.065	0.998	0.900	0.994	0.999
CTNNB1	CDH1	9606.ENSP00000344456	9606.ENSP00000261769	0	0	0	0	0.062	0.999	0.900	0.990	0.999
CTNNB1	AXIN1	9606.ENSP00000344456	9606.ENSP00000262320	0	0	0	0	0.062	0.994	0.900	0.994	0.999
CTNNB1	CREBBP	9606.ENSP00000344456	9606.ENSP00000262367	0	0	0	0	0.062	0.917	0.900	0.994	0.999
CTNNB1	EP300	9606.ENSP00000344456	9606.ENSP00000263253	0	0	0	0	0.054	0.930	0.900	0.994	0.999
CTNNB1	CDH3	9606.ENSP00000344456	9606.ENSP00000264012	0	0	0	0	0.049	0.986	0.600	0.981	0.999
EP300	TBL1X	9606.ENSP00000263253	9606.ENSP00000217964	0	0	0	0	0.066	0.177	0.650	0.256	0.773
EP300	SKP1	9606.ENSP00000263253	9606.ENSP00000231487	0	0	0	0	0.062	0.060	0.650	0.493	0.822
EP300	CDH1	9606.ENSP00000263253	9606.ENSP00000261769	0	0	0	0	0	0.281	0	0.458	0.593
EP300	AXIN1	9606.ENSP00000263253	9606.ENSP00000262320	0	0	0	0	0.065	0	0	0.458	0.471
EP300	CREBBP	9606.ENSP00000263253	9606.ENSP00000262367	0	0	0	0.957	0.835	0.805	0.900	0.989	0.996
EP300	CTNNB1	9606.ENSP00000263253	9606.ENSP00000344456	0	0	0	0	0.054	0.930	0.900	0.994	0.999
SKP1	TBL1X	9606.ENSP00000231487	9606.ENSP00000217964	0	0	0	0	0.062	0.349	0.800	0.269	0.899
SKP1	AXIN1	9606.ENSP00000231487	9606.ENSP00000262320	0	0	0	0	0	0	0.600	0.343	0.726
SKP1	CREBBP	9606.ENSP00000231487	9606.ENSP00000262367	0	0	0	0	0.062	0.060	0.650	0.273	0.745
SKP1	EP300	9606.ENSP00000231487	9606.ENSP00000263253	0	0	0	0	0.062	0.060	0.650	0.493	0.822
SKP1	APC	9606.ENSP00000231487	9606.ENSP00000257430	0	0	0	0	0	0	0.900	0.140	0.910
SKP1	CTNNB1	9606.ENSP00000231487	9606.ENSP00000344456	0	0	0	0	0.068	0.873	0.900	0.978	0.999
