#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ALDOA,GAPDH,9606.ENSP00000378669,9606.ENSP00000229239,0.111,0,0,0,0.746,0.682,0.900,0.721,0.997
ALDOA,TPI1,9606.ENSP00000378669,9606.ENSP00000229270,0,0,0,0,0.420,0,0.900,0.834,0.989
ALDOA,ENO1,9606.ENSP00000378669,9606.ENSP00000234590,0,0,0,0,0.463,0.429,0.600,0.780,0.969
ALDOA,PGK1,9606.ENSP00000378669,9606.ENSP00000362413,0.135,0,0,0,0.246,0.655,0,0.789,0.946
ENO1,GAPDH,9606.ENSP00000234590,9606.ENSP00000229239,0.081,0,0,0,0.894,0.792,0,0.823,0.995
ENO1,TPI1,9606.ENSP00000234590,9606.ENSP00000229270,0.167,0,0.259,0,0.830,0.795,0,0.863,0.996
ENO1,EPRS,9606.ENSP00000234590,9606.ENSP00000355890,0.265,0,0,0,0.163,0.119,0,0.093,0.443
ENO1,ALDOA,9606.ENSP00000234590,9606.ENSP00000378669,0,0,0,0,0.463,0.429,0.600,0.780,0.969
ENO1,PGK1,9606.ENSP00000234590,9606.ENSP00000362413,0.111,0,0.351,0,0.596,0.783,0,0.817,0.989
ENO1,PLG,9606.ENSP00000234590,9606.ENSP00000308938,0,0,0,0,0.062,0.270,0,0.994,0.996
EPRS,GAPDH,9606.ENSP00000355890,9606.ENSP00000229239,0.070,0,0,0,0.139,0.595,0.900,0.912,0.996
EPRS,TPI1,9606.ENSP00000355890,9606.ENSP00000229270,0.318,0,0,0,0.121,0,0,0.252,0.512
EPRS,ENO1,9606.ENSP00000355890,9606.ENSP00000234590,0.265,0,0,0,0.163,0.119,0,0.093,0.443
EPRS,PLG,9606.ENSP00000355890,9606.ENSP00000308938,0,0,0,0,0,0,0,0.407,0.407
EPRS,PGK1,9606.ENSP00000355890,9606.ENSP00000362413,0.328,0,0,0,0.201,0,0,0.153,0.506
EPRS,RPL13A,9606.ENSP00000355890,9606.ENSP00000375730,0.194,0,0,0,0.430,0.402,0.900,0.994,0.999
EPRS,SYNCRIP,9606.ENSP00000355890,9606.ENSP00000358635,0,0,0,0,0.155,0.699,0.900,0.988,0.999
GAPDH,PLG,9606.ENSP00000229239,9606.ENSP00000308938,0,0,0,0,0,0.059,0,0.989,0.990
GAPDH,ENO1,9606.ENSP00000229239,9606.ENSP00000234590,0.081,0,0,0,0.894,0.792,0,0.823,0.995
