#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DCAF6	ZNF653	9606.ENSP00000356814	9606.ENSP00000293771	0	0	0	0	0	0.056	0	0.666	0.671
DCAF6	TTLL5	9606.ENSP00000356814	9606.ENSP00000298832	0	0	0	0	0.089	0	0	0.543	0.566
DCAF6	TTLL10	9606.ENSP00000356814	9606.ENSP00000368592	0	0	0	0	0.066	0	0	0.491	0.505
DTWD1	RNF166	9606.ENSP00000251250	9606.ENSP00000326095	0	0	0	0	0	0	0	0.464	0.463
DTWD1	FAM83F	9606.ENSP00000251250	9606.ENSP00000330432	0	0	0	0	0	0	0	0.519	0.519
DTWD1	ZNF653	9606.ENSP00000251250	9606.ENSP00000293771	0	0	0	0	0	0	0	0.611	0.611
FAM83F	DTWD1	9606.ENSP00000330432	9606.ENSP00000251250	0	0	0	0	0	0	0	0.519	0.519
FAM83F	ZNF653	9606.ENSP00000330432	9606.ENSP00000293771	0	0	0	0	0	0	0	0.672	0.672
FAM83F	RNF166	9606.ENSP00000330432	9606.ENSP00000326095	0	0	0	0	0	0	0	0.734	0.734
FAM83F	UBA3	9606.ENSP00000330432	9606.ENSP00000354340	0	0	0	0	0	0	0	0.612	0.612
NCOA2	ZNF653	9606.ENSP00000399968	9606.ENSP00000293771	0	0	0	0	0	0.060	0	0.622	0.629
NCOA2	TTLL5	9606.ENSP00000399968	9606.ENSP00000298832	0	0	0	0	0.062	0	0	0.499	0.509
NCOA2	NR5A2	9606.ENSP00000399968	9606.ENSP00000356331	0	0	0	0	0.062	0.934	0	0.371	0.958
NCOA2	NR5A1	9606.ENSP00000399968	9606.ENSP00000362690	0	0	0	0	0.062	0.821	0	0.684	0.942
NR5A1	ZNF653	9606.ENSP00000362690	9606.ENSP00000293771	0	0	0	0	0	0.289	0	0.539	0.658
NR5A1	NCOA2	9606.ENSP00000362690	9606.ENSP00000399968	0	0	0	0	0.062	0.821	0	0.684	0.942
NR5A2	ZNF653	9606.ENSP00000356331	9606.ENSP00000293771	0	0	0	0	0	0.066	0	0.738	0.744
NR5A2	NCOA2	9606.ENSP00000356331	9606.ENSP00000399968	0	0	0	0	0.062	0.934	0	0.371	0.958
RNF166	DTWD1	9606.ENSP00000326095	9606.ENSP00000251250	0	0	0	0	0	0	0	0.464	0.463
RNF166	ZNF653	9606.ENSP00000326095	9606.ENSP00000293771	0	0	0	0	0.135	0	0	0.751	0.776
RNF166	UBA3	9606.ENSP00000326095	9606.ENSP00000354340	0	0	0	0	0	0.130	0	0.602	0.639
RNF166	FAM83F	9606.ENSP00000326095	9606.ENSP00000330432	0	0	0	0	0	0	0	0.734	0.734
TTLL10	ZNF653	9606.ENSP00000368592	9606.ENSP00000293771	0	0	0	0	0	0	0	0.634	0.634
TTLL10	DCAF6	9606.ENSP00000368592	9606.ENSP00000356814	0	0	0	0	0.066	0	0	0.491	0.505
TTLL5	ZNF653	9606.ENSP00000298832	9606.ENSP00000293771	0	0	0	0	0	0	0	0.635	0.635
TTLL5	NCOA2	9606.ENSP00000298832	9606.ENSP00000399968	0	0	0	0	0.062	0	0	0.499	0.509
TTLL5	DCAF6	9606.ENSP00000298832	9606.ENSP00000356814	0	0	0	0	0.089	0	0	0.543	0.566
UBA3	ZNF653	9606.ENSP00000354340	9606.ENSP00000293771	0	0	0	0	0.056	0.056	0	0.642	0.653
UBA3	RNF166	9606.ENSP00000354340	9606.ENSP00000326095	0	0	0	0	0	0.130	0	0.602	0.639
UBA3	FAM83F	9606.ENSP00000354340	9606.ENSP00000330432	0	0	0	0	0	0	0	0.612	0.612
ZNF653	DTWD1	9606.ENSP00000293771	9606.ENSP00000251250	0	0	0	0	0	0	0	0.611	0.611
ZNF653	NCOA2	9606.ENSP00000293771	9606.ENSP00000399968	0	0	0	0	0	0.060	0	0.622	0.629
ZNF653	TTLL10	9606.ENSP00000293771	9606.ENSP00000368592	0	0	0	0	0	0	0	0.634	0.634
ZNF653	TTLL5	9606.ENSP00000293771	9606.ENSP00000298832	0	0	0	0	0	0	0	0.635	0.635
ZNF653	UBA3	9606.ENSP00000293771	9606.ENSP00000354340	0	0	0	0	0.056	0.056	0	0.642	0.653
ZNF653	NR5A1	9606.ENSP00000293771	9606.ENSP00000362690	0	0	0	0	0	0.289	0	0.539	0.658
ZNF653	DCAF6	9606.ENSP00000293771	9606.ENSP00000356814	0	0	0	0	0	0.056	0	0.666	0.671
ZNF653	FAM83F	9606.ENSP00000293771	9606.ENSP00000330432	0	0	0	0	0	0	0	0.672	0.672
ZNF653	NR5A2	9606.ENSP00000293771	9606.ENSP00000356331	0	0	0	0	0	0.066	0	0.738	0.744
ZNF653	RNF166	9606.ENSP00000293771	9606.ENSP00000326095	0	0	0	0	0.135	0	0	0.751	0.776
