#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BARD1	PARP1	9606.ENSP00000260947	9606.ENSP00000355759	0	0	0	0	0.086	0.281	0	0.705	0.789
BARD1	EWSR1	9606.ENSP00000260947	9606.ENSP00000400142	0	0	0	0	0	0.322	0.900	0.816	0.986
DHX9	FLII	9606.ENSP00000356520	9606.ENSP00000324573	0	0	0	0	0	0.325	0	0.812	0.868
DHX9	YBX1	9606.ENSP00000356520	9606.ENSP00000361626	0	0	0	0	0.106	0.560	0.900	0.549	0.979
DHX9	EWSR1	9606.ENSP00000356520	9606.ENSP00000400142	0	0	0	0	0.364	0.707	0	0.989	0.997
EWSR1	BARD1	9606.ENSP00000400142	9606.ENSP00000260947	0	0	0	0	0	0.322	0.900	0.816	0.986
EWSR1	POLR2G	9606.ENSP00000400142	9606.ENSP00000301788	0	0	0	0	0.113	0.213	0	0.952	0.964
EWSR1	FLII	9606.ENSP00000400142	9606.ENSP00000324573	0	0	0	0	0	0	0	0.930	0.930
EWSR1	PARP1	9606.ENSP00000400142	9606.ENSP00000355759	0	0	0	0	0.082	0.270	0	0.914	0.937
EWSR1	DHX9	9606.ENSP00000400142	9606.ENSP00000356520	0	0	0	0	0.364	0.707	0	0.989	0.997
EWSR1	RUNX2	9606.ENSP00000400142	9606.ENSP00000360493	0	0	0	0	0	0	0	0.935	0.935
EWSR1	YBX1	9606.ENSP00000400142	9606.ENSP00000361626	0	0	0	0	0.083	0.283	0	0.975	0.983
EWSR1	SF1	9606.ENSP00000400142	9606.ENSP00000366604	0	0	0	0	0.343	0.270	0	0.950	0.974
EWSR1	TBP	9606.ENSP00000400142	9606.ENSP00000375942	0	0	0	0	0	0	0	0.978	0.978
EWSR1	KDM1A	9606.ENSP00000400142	9606.ENSP00000383042	0	0	0	0	0.084	0	0	0.886	0.891
FLII	POLR2G	9606.ENSP00000324573	9606.ENSP00000301788	0	0	0	0	0	0	0	0.649	0.649
FLII	TBP	9606.ENSP00000324573	9606.ENSP00000375942	0	0	0	0	0.062	0	0	0.456	0.468
FLII	DHX9	9606.ENSP00000324573	9606.ENSP00000356520	0	0	0	0	0	0.325	0	0.812	0.868
FLII	EWSR1	9606.ENSP00000324573	9606.ENSP00000400142	0	0	0	0	0	0	0	0.930	0.930
KDM1A	EWSR1	9606.ENSP00000383042	9606.ENSP00000400142	0	0	0	0	0.084	0	0	0.886	0.891
PARP1	BARD1	9606.ENSP00000355759	9606.ENSP00000260947	0	0	0	0	0.086	0.281	0	0.705	0.789
PARP1	YBX1	9606.ENSP00000355759	9606.ENSP00000361626	0	0	0	0	0.089	0	0	0.411	0.442
PARP1	EWSR1	9606.ENSP00000355759	9606.ENSP00000400142	0	0	0	0	0.082	0.270	0	0.914	0.937
POLR2G	FLII	9606.ENSP00000301788	9606.ENSP00000324573	0	0	0	0	0	0	0	0.649	0.649
POLR2G	YBX1	9606.ENSP00000301788	9606.ENSP00000361626	0	0	0	0	0.080	0	0.600	0.134	0.653
POLR2G	EWSR1	9606.ENSP00000301788	9606.ENSP00000400142	0	0	0	0	0.113	0.213	0	0.952	0.964
POLR2G	TBP	9606.ENSP00000301788	9606.ENSP00000375942	0	0	0	0	0.078	0.871	0.600	0.674	0.982
RUNX2	EWSR1	9606.ENSP00000360493	9606.ENSP00000400142	0	0	0	0	0	0	0	0.935	0.935
SF1	EWSR1	9606.ENSP00000366604	9606.ENSP00000400142	0	0	0	0	0.343	0.270	0	0.950	0.974
TBP	POLR2G	9606.ENSP00000375942	9606.ENSP00000301788	0	0	0	0	0.078	0.871	0.600	0.674	0.982
TBP	FLII	9606.ENSP00000375942	9606.ENSP00000324573	0	0	0	0	0.062	0	0	0.456	0.468
TBP	EWSR1	9606.ENSP00000375942	9606.ENSP00000400142	0	0	0	0	0	0	0	0.978	0.978
YBX1	POLR2G	9606.ENSP00000361626	9606.ENSP00000301788	0	0	0	0	0.080	0	0.600	0.134	0.653
YBX1	PARP1	9606.ENSP00000361626	9606.ENSP00000355759	0	0	0	0	0.089	0	0	0.411	0.442
YBX1	DHX9	9606.ENSP00000361626	9606.ENSP00000356520	0	0	0	0	0.106	0.560	0.900	0.549	0.979
YBX1	EWSR1	9606.ENSP00000361626	9606.ENSP00000400142	0	0	0	0	0.083	0.283	0	0.975	0.983
