#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
BAD,BIK,9606.ENSP00000378040,9606.ENSP00000216115,0,0,0,0,0,0,0,0.471,0.471
BAD,TP53,9606.ENSP00000378040,9606.ENSP00000269305,0,0,0,0,0,0,0,0.640,0.640
BAD,BAX,9606.ENSP00000378040,9606.ENSP00000293288,0,0,0,0,0,0.535,0,0.681,0.845
BAD,BCL2L1,9606.ENSP00000378040,9606.ENSP00000302564,0,0,0,0,0.065,0.932,0.900,0.927,0.999
BAD,BID,9606.ENSP00000378040,9606.ENSP00000318822,0,0,0,0,0,0,0.650,0.661,0.876
BAD,BCL2L11,9606.ENSP00000378040,9606.ENSP00000376943,0,0,0,0,0,0.270,0.900,0.559,0.964
BAD,BBC3,9606.ENSP00000378040,9606.ENSP00000404503,0,0,0,0,0,0,0,0.518,0.518
BAD,BCL2,9606.ENSP00000378040,9606.ENSP00000381185,0,0,0,0,0,0.905,0.900,0.559,0.995
BAX,BIK,9606.ENSP00000293288,9606.ENSP00000216115,0,0,0,0,0,0,0,0.500,0.499
BAX,TP53,9606.ENSP00000293288,9606.ENSP00000269305,0,0,0,0,0.051,0.738,0.900,0.681,0.991
BAX,BECN1,9606.ENSP00000293288,9606.ENSP00000355231,0,0,0,0,0.049,0.179,0,0.553,0.621
BAX,BBC3,9606.ENSP00000293288,9606.ENSP00000404503,0,0,0,0,0.088,0.213,0,0.666,0.739
BAX,BAD,9606.ENSP00000293288,9606.ENSP00000378040,0,0,0,0,0,0.535,0,0.681,0.845
BAX,BCL2L1,9606.ENSP00000293288,9606.ENSP00000302564,0,0,0,0.643,0.047,0.913,0.900,0.709,0.993
BAX,BCL2L11,9606.ENSP00000293288,9606.ENSP00000376943,0,0,0,0,0,0.899,0.900,0.772,0.997
BAX,BID,9606.ENSP00000293288,9606.ENSP00000318822,0,0,0,0,0,0.901,0.900,0.857,0.998
BAX,BCL2,9606.ENSP00000293288,9606.ENSP00000381185,0,0,0,0.645,0,0.981,0.900,0.758,0.998
BBC3,BIK,9606.ENSP00000404503,9606.ENSP00000216115,0,0,0,0,0,0,0,0.605,0.605
BBC3,TP53,9606.ENSP00000404503,9606.ENSP00000269305,0,0,0,0,0,0.494,0.900,0.710,0.984
BBC3,BAX,9606.ENSP00000404503,9606.ENSP00000293288,0,0,0,0,0.088,0.213,0,0.666,0.739
BBC3,BCL2L1,9606.ENSP00000404503,9606.ENSP00000302564,0,0,0,0,0.065,0.894,0.900,0.872,0.998
BBC3,BID,9606.ENSP00000404503,9606.ENSP00000318822,0,0,0,0,0,0,0.800,0.616,0.919
BBC3,BCL2L11,9606.ENSP00000404503,9606.ENSP00000376943,0,0,0,0,0,0,0.800,0.707,0.938
BBC3,BAD,9606.ENSP00000404503,9606.ENSP00000378040,0,0,0,0,0,0,0,0.518,0.518
BBC3,BCL2,9606.ENSP00000404503,9606.ENSP00000381185,0,0,0,0,0,0.873,0.900,0.342,0.990
BCL2,BIK,9606.ENSP00000381185,9606.ENSP00000216115,0,0,0,0,0,0.880,0.900,0.295,0.990
BCL2,TP53,9606.ENSP00000381185,9606.ENSP00000269305,0,0,0,0,0.051,0.884,0.900,0.628,0.995
BCL2,BAX,9606.ENSP00000381185,9606.ENSP00000293288,0,0,0,0.645,0,0.981,0.900,0.758,0.998
BCL2,BCL2L1,9606.ENSP00000381185,9606.ENSP00000302564,0,0,0,0.898,0,0.870,0.900,0.627,0.987
BCL2,BID,9606.ENSP00000381185,9606.ENSP00000318822,0,0,0,0,0,0.900,0.800,0.507,0.989
BCL2,BECN1,9606.ENSP00000381185,9606.ENSP00000355231,0,0,0,0,0,0.993,0.800,0.892,0.999
BCL2,BCL2L11,9606.ENSP00000381185,9606.ENSP00000376943,0,0,0,0,0,0.931,0.800,0.519,0.992
BCL2,BAD,9606.ENSP00000381185,9606.ENSP00000378040,0,0,0,0,0,0.905,0.900,0.559,0.995
BCL2,FKBP8,9606.ENSP00000381185,9606.ENSP00000476767,0,0,0,0,0,0.874,0.900,0.045,0.986
BCL2,BBC3,9606.ENSP00000381185,9606.ENSP00000404503,0,0,0,0,0,0.873,0.900,0.342,0.990
BCL2L1,BIK,9606.ENSP00000302564,9606.ENSP00000216115,0,0,0,0,0,0.879,0.900,0.941,0.999
BCL2L1,TP53,9606.ENSP00000302564,9606.ENSP00000269305,0,0,0,0,0.051,0.977,0.900,0.990,0.999
BCL2L1,BAX,9606.ENSP00000302564,9606.ENSP00000293288,0,0,0,0.643,0.047,0.913,0.900,0.709,0.993
BCL2L1,FKBP8,9606.ENSP00000302564,9606.ENSP00000476767,0,0,0,0,0.162,0.486,0,0.923,0.964
BCL2L1,BCL2,9606.ENSP00000302564,9606.ENSP00000381185,0,0,0,0.898,0,0.870,0.900,0.627,0.987
BCL2L1,BID,9606.ENSP00000302564,9606.ENSP00000318822,0,0,0,0,0,0.921,0.800,0.696,0.994
BCL2L1,BBC3,9606.ENSP00000302564,9606.ENSP00000404503,0,0,0,0,0.065,0.894,0.900,0.872,0.998
BCL2L1,BCL2L11,9606.ENSP00000302564,9606.ENSP00000376943,0,0,0,0,0,0.972,0.900,0.989,0.999
BCL2L1,BECN1,9606.ENSP00000302564,9606.ENSP00000355231,0,0,0,0,0.044,0.911,0.800,0.990,0.999
BCL2L1,BAD,9606.ENSP00000302564,9606.ENSP00000378040,0,0,0,0,0.065,0.932,0.900,0.927,0.999
BCL2L11,BIK,9606.ENSP00000376943,9606.ENSP00000216115,0,0,0,0,0,0.417,0,0.766,0.857
BCL2L11,TP53,9606.ENSP00000376943,9606.ENSP00000269305,0,0,0,0,0,0,0,0.741,0.741
BCL2L11,BAX,9606.ENSP00000376943,9606.ENSP00000293288,0,0,0,0,0,0.899,0.900,0.772,0.997
BCL2L11,BCL2L1,9606.ENSP00000376943,9606.ENSP00000302564,0,0,0,0,0,0.972,0.900,0.989,0.999
BCL2L11,BID,9606.ENSP00000376943,9606.ENSP00000318822,0,0,0,0,0,0.417,0.800,0.625,0.952
BCL2L11,BECN1,9606.ENSP00000376943,9606.ENSP00000355231,0,0,0,0,0,0.182,0,0.970,0.974
BCL2L11,BBC3,9606.ENSP00000376943,9606.ENSP00000404503,0,0,0,0,0,0,0.800,0.707,0.938
BCL2L11,BAD,9606.ENSP00000376943,9606.ENSP00000378040,0,0,0,0,0,0.270,0.900,0.559,0.964
BCL2L11,BCL2,9606.ENSP00000376943,9606.ENSP00000381185,0,0,0,0,0,0.931,0.800,0.519,0.992
BECN1,TP53,9606.ENSP00000355231,9606.ENSP00000269305,0,0,0,0,0,0.270,0,0.863,0.896
BECN1,BAX,9606.ENSP00000355231,9606.ENSP00000293288,0,0,0,0,0.049,0.179,0,0.553,0.621
BECN1,BCL2L1,9606.ENSP00000355231,9606.ENSP00000302564,0,0,0,0,0.044,0.911,0.800,0.990,0.999
BECN1,FKBP8,9606.ENSP00000355231,9606.ENSP00000476767,0,0,0,0,0.046,0.187,0,0.358,0.458
BECN1,BCL2L11,9606.ENSP00000355231,9606.ENSP00000376943,0,0,0,0,0,0.182,0,0.970,0.974
BECN1,BCL2,9606.ENSP00000355231,9606.ENSP00000381185,0,0,0,0,0,0.993,0.800,0.892,0.999
BID,BIK,9606.ENSP00000318822,9606.ENSP00000216115,0,0,0,0,0,0,0,0.479,0.479
BID,TP53,9606.ENSP00000318822,9606.ENSP00000269305,0,0,0,0,0,0,0.900,0.465,0.944
BID,BAX,9606.ENSP00000318822,9606.ENSP00000293288,0,0,0,0,0,0.901,0.900,0.857,0.998
BID,BCL2L1,9606.ENSP00000318822,9606.ENSP00000302564,0,0,0,0,0,0.921,0.800,0.696,0.994
BID,BAD,9606.ENSP00000318822,9606.ENSP00000378040,0,0,0,0,0,0,0.650,0.661,0.876
BID,BBC3,9606.ENSP00000318822,9606.ENSP00000404503,0,0,0,0,0,0,0.800,0.616,0.919
BID,BCL2L11,9606.ENSP00000318822,9606.ENSP00000376943,0,0,0,0,0,0.417,0.800,0.625,0.952
BID,BCL2,9606.ENSP00000318822,9606.ENSP00000381185,0,0,0,0,0,0.900,0.800,0.507,0.989
BIK,BAD,9606.ENSP00000216115,9606.ENSP00000378040,0,0,0,0,0,0,0,0.471,0.471
BIK,BID,9606.ENSP00000216115,9606.ENSP00000318822,0,0,0,0,0,0,0,0.479,0.479
BIK,BAX,9606.ENSP00000216115,9606.ENSP00000293288,0,0,0,0,0,0,0,0.500,0.499
BIK,TP53,9606.ENSP00000216115,9606.ENSP00000269305,0,0,0,0,0,0,0,0.537,0.537
BIK,BBC3,9606.ENSP00000216115,9606.ENSP00000404503,0,0,0,0,0,0,0,0.605,0.605
BIK,BCL2L11,9606.ENSP00000216115,9606.ENSP00000376943,0,0,0,0,0,0.417,0,0.766,0.857
BIK,BCL2,9606.ENSP00000216115,9606.ENSP00000381185,0,0,0,0,0,0.880,0.900,0.295,0.990
BIK,BCL2L1,9606.ENSP00000216115,9606.ENSP00000302564,0,0,0,0,0,0.879,0.900,0.941,0.999
FKBP8,BCL2L1,9606.ENSP00000476767,9606.ENSP00000302564,0,0,0,0,0.162,0.486,0,0.923,0.964
FKBP8,BECN1,9606.ENSP00000476767,9606.ENSP00000355231,0,0,0,0,0.046,0.187,0,0.358,0.458
FKBP8,BCL2,9606.ENSP00000476767,9606.ENSP00000381185,0,0,0,0,0,0.874,0.900,0.045,0.986
TP53,BIK,9606.ENSP00000269305,9606.ENSP00000216115,0,0,0,0,0,0,0,0.537,0.537
TP53,BAD,9606.ENSP00000269305,9606.ENSP00000378040,0,0,0,0,0,0,0,0.640,0.640
TP53,BCL2L11,9606.ENSP00000269305,9606.ENSP00000376943,0,0,0,0,0,0,0,0.741,0.741
TP53,BECN1,9606.ENSP00000269305,9606.ENSP00000355231,0,0,0,0,0,0.270,0,0.863,0.896
TP53,BID,9606.ENSP00000269305,9606.ENSP00000318822,0,0,0,0,0,0,0.900,0.465,0.944
TP53,BBC3,9606.ENSP00000269305,9606.ENSP00000404503,0,0,0,0,0,0.494,0.900,0.710,0.984
TP53,BAX,9606.ENSP00000269305,9606.ENSP00000293288,0,0,0,0,0.051,0.738,0.900,0.681,0.991
TP53,BCL2,9606.ENSP00000269305,9606.ENSP00000381185,0,0,0,0,0.051,0.884,0.900,0.628,0.995
TP53,BCL2L1,9606.ENSP00000269305,9606.ENSP00000302564,0,0,0,0,0.051,0.977,0.900,0.990,0.999
