#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATAD2	HIST1H4F	9606.ENSP00000287394	9606.ENSP00000244537	0	0	0	0	0	0.842	0	0.855	0.976
ATAD2	HIST4H4	9606.ENSP00000287394	9606.ENSP00000443017	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST2H4A	9606.ENSP00000287394	9606.ENSP00000462667	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST2H4B	9606.ENSP00000287394	9606.ENSP00000462355	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST1H4H	9606.ENSP00000287394	9606.ENSP00000366956	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST1H4J	9606.ENSP00000287394	9606.ENSP00000347168	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST1H4B	9606.ENSP00000287394	9606.ENSP00000366974	0	0	0	0	0	0.842	0	0.281	0.882
ATAD2	HIST1H4E	9606.ENSP00000287394	9606.ENSP00000484789	0	0	0	0	0	0.842	0	0.341	0.891
ATAD2	HIST1H4C	9606.ENSP00000287394	9606.ENSP00000367034	0	0	0	0	0	0.879	0	0.281	0.910
ATAD2	ESR1	9606.ENSP00000287394	9606.ENSP00000405330	0	0	0	0	0	0.276	0.800	0.829	0.973
ESR1	HIST1H4F	9606.ENSP00000405330	9606.ENSP00000244537	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	ATAD2	9606.ENSP00000405330	9606.ENSP00000287394	0	0	0	0	0	0.276	0.800	0.829	0.973
ESR1	HIST1H4J	9606.ENSP00000405330	9606.ENSP00000347168	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST1H4H	9606.ENSP00000405330	9606.ENSP00000366956	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST1H4B	9606.ENSP00000405330	9606.ENSP00000366974	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST1H4C	9606.ENSP00000405330	9606.ENSP00000367034	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST1H4E	9606.ENSP00000405330	9606.ENSP00000484789	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST2H4B	9606.ENSP00000405330	9606.ENSP00000462355	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST2H4A	9606.ENSP00000405330	9606.ENSP00000462667	0	0	0	0	0	0.057	0	0.452	0.461
ESR1	HIST4H4	9606.ENSP00000405330	9606.ENSP00000443017	0	0	0	0	0	0.057	0	0.452	0.461
HIST1H4B	HIST1H4F	9606.ENSP00000366974	9606.ENSP00000244537	0	0	0	0.984	0.195	0.800	0.900	0	0.982
HIST1H4B	ATAD2	9606.ENSP00000366974	9606.ENSP00000287394	0	0	0	0	0	0.842	0	0.281	0.882
HIST1H4B	HIST1H4J	9606.ENSP00000366974	9606.ENSP00000347168	0	0	0	0.984	0.333	0.800	0.900	0	0.985
HIST1H4B	HIST1H4H	9606.ENSP00000366974	9606.ENSP00000366956	0	0	0	0.984	0.154	0.800	0.900	0	0.981
HIST1H4B	ESR1	9606.ENSP00000366974	9606.ENSP00000405330	0	0	0	0	0	0.057	0	0.452	0.461
HIST1H4B	HIST2H4B	9606.ENSP00000366974	9606.ENSP00000462355	0	0	0	0.984	0	0.800	0.900	0	0.979
HIST1H4B	HIST4H4	9606.ENSP00000366974	9606.ENSP00000443017	0	0	0	0.984	0.121	0.800	0.900	0	0.980
HIST1H4B	HIST2H4A	9606.ENSP00000366974	9606.ENSP00000462667	0	0	0	0.984	0.152	0.800	0.900	0	0.981
HIST1H4B	HIST1H4C	9606.ENSP00000366974	9606.ENSP00000367034	0	0	0	0.984	0.214	0.800	0.900	0	0.982
HIST1H4B	HIST1H4E	9606.ENSP00000366974	9606.ENSP00000484789	0	0	0	0.984	0.339	0.800	0.900	0	0.985
HIST1H4C	HIST1H4F	9606.ENSP00000367034	9606.ENSP00000244537	0	0	0	0.984	0.111	0.800	0.900	0	0.980
HIST1H4C	ATAD2	9606.ENSP00000367034	9606.ENSP00000287394	0	0	0	0	0	0.879	0	0.281	0.910
HIST1H4C	HIST1H4J	9606.ENSP00000367034	9606.ENSP00000347168	0	0	0	0.984	0.152	0.800	0.900	0	0.981
HIST1H4C	HIST1H4H	9606.ENSP00000367034	9606.ENSP00000366956	0	0	0	0.984	0.070	0.800	0.900	0	0.979
HIST1H4C	HIST1H4B	9606.ENSP00000367034	9606.ENSP00000366974	0	0	0	0.984	0.214	0.800	0.900	0	0.982
HIST1H4C	ESR1	9606.ENSP00000367034	9606.ENSP00000405330	0	0	0	0	0	0.057	0	0.452	0.461
HIST1H4C	HIST4H4	9606.ENSP00000367034	9606.ENSP00000443017	0	0	0	0.984	0.077	0.800	0.900	0	0.979
HIST1H4C	HIST2H4B	9606.ENSP00000367034	9606.ENSP00000462355	0	0	0	0.984	0.062	0.800	0.900	0	0.979
HIST1H4C	HIST2H4A	9606.ENSP00000367034	9606.ENSP00000462667	0	0	0	0.984	0.069	0.800	0.900	0	0.979
HIST1H4C	HIST1H4E	9606.ENSP00000367034	9606.ENSP00000484789	0	0	0	0.984	0.328	0.800	0.900	0	0.985
HIST1H4E	HIST1H4F	9606.ENSP00000484789	9606.ENSP00000244537	0	0	0	0.984	0.139	0.800	0.900	0	0.981
HIST1H4E	ATAD2	9606.ENSP00000484789	9606.ENSP00000287394	0	0	0	0	0	0.842	0	0.341	0.891
HIST1H4E	HIST1H4J	9606.ENSP00000484789	9606.ENSP00000347168	0	0	0	0.984	0.213	0.800	0.900	0	0.982
HIST1H4E	HIST1H4H	9606.ENSP00000484789	9606.ENSP00000366956	0	0	0	0.984	0.152	0.800	0.900	0	0.981
HIST1H4E	HIST1H4B	9606.ENSP00000484789	9606.ENSP00000366974	0	0	0	0.984	0.339	0.800	0.900	0	0.985
HIST1H4E	HIST1H4C	9606.ENSP00000484789	9606.ENSP00000367034	0	0	0	0.984	0.328	0.800	0.900	0	0.985
HIST1H4E	ESR1	9606.ENSP00000484789	9606.ENSP00000405330	0	0	0	0	0	0.057	0	0.452	0.461
HIST1H4E	HIST4H4	9606.ENSP00000484789	9606.ENSP00000443017	0	0	0	0.984	0.098	0.800	0.900	0	0.980
HIST1H4E	HIST2H4B	9606.ENSP00000484789	9606.ENSP00000462355	0	0	0	0.984	0.067	0.800	0.900	0	0.979
HIST1H4E	HIST2H4A	9606.ENSP00000484789	9606.ENSP00000462667	0	0	0	0.984	0.138	0.800	0.900	0	0.981
HIST1H4F	ESR1	9606.ENSP00000244537	9606.ENSP00000405330	0	0	0	0	0	0.057	0	0.452	0.461
HIST1H4F	ATAD2	9606.ENSP00000244537	9606.ENSP00000287394	0	0	0	0	0	0.842	0	0.855	0.976
HIST1H4F	HIST1H4H	9606.ENSP00000244537	9606.ENSP00000366956	0	0	0	0.984	0.070	0.800	0.900	0	0.979
HIST1H4F	HIST2H4A	9606.ENSP00000244537	9606.ENSP00000462667	0	0	0	0.984	0.065	0.800	0.900	0	0.979
HIST1H4F	HIST4H4	9606.ENSP00000244537	9606.ENSP00000443017	0	0	0	0.984	0.069	0.800	0.900	0	0.979
HIST1H4F	HIST1H4C	9606.ENSP00000244537	9606.ENSP00000367034	0	0	0	0.984	0.111	0.800	0.900	0	0.980
HIST1H4F	HIST1H4E	9606.ENSP00000244537	9606.ENSP00000484789	0	0	0	0.984	0.139	0.800	0.900	0	0.981
HIST1H4F	HIST1H4J	9606.ENSP00000244537	9606.ENSP00000347168	0	0	0	0.984	0.139	0.800	0.900	0	0.981
HIST1H4F	HIST1H4B	9606.ENSP00000244537	9606.ENSP00000366974	0	0	0	0.984	0.195	0.800	0.900	0	0.982
HIST1H4F	HIST2H4B	9606.ENSP00000244537	9606.ENSP00000462355	0	0	0	0.984	0	0.847	0.900	0	0.984
HIST1H4H	HIST1H4F	9606.ENSP00000366956	9606.ENSP00000244537	0	0	0	0.984	0.070	0.800	0.900	0	0.979
