#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
CD247,CD4,9606.ENSP00000354782,9606.ENSP00000011653,0,0,0,0,0.233,0,0.900,0.873,0.989
CD247,CD80,9606.ENSP00000354782,9606.ENSP00000264246,0,0,0,0,0.090,0,0.900,0.556,0.956
CD247,CTLA4,9606.ENSP00000354782,9606.ENSP00000303939,0,0,0,0,0.170,0,0,0.972,0.976
CD247,PDCD1,9606.ENSP00000354782,9606.ENSP00000335062,0,0,0,0,0.157,0,0.900,0.537,0.957
CD247,PTPN11,9606.ENSP00000354782,9606.ENSP00000340944,0,0,0,0,0.063,0.109,0.900,0.732,0.974
CD247,CD3E,9606.ENSP00000354782,9606.ENSP00000354566,0,0,0,0,0.554,0.923,0.900,0.867,0.999
CD247,HLA-DRA,9606.ENSP00000354782,9606.ENSP00000378786,0,0,0,0,0.142,0,0.900,0.153,0.920
CD247,PDCD1LG2,9606.ENSP00000354782,9606.ENSP00000380855,0,0,0,0,0.062,0,0.900,0.513,0.950
CD247,CD274,9606.ENSP00000354782,9606.ENSP00000370989,0,0,0,0,0.062,0,0.900,0.608,0.960
CD274,CD4,9606.ENSP00000370989,9606.ENSP00000011653,0,0,0,0,0.062,0,0.900,0.887,0.988
CD274,CD80,9606.ENSP00000370989,9606.ENSP00000264246,0,0,0,0.589,0.183,0.890,0.800,0.992,0.988
CD274,CTLA4,9606.ENSP00000370989,9606.ENSP00000303939,0,0,0,0,0.062,0.417,0,0.978,0.987
CD274,PDCD1,9606.ENSP00000370989,9606.ENSP00000335062,0,0,0,0,0.062,0.976,0.800,0.995,0.999
CD274,PTPN11,9606.ENSP00000370989,9606.ENSP00000340944,0,0,0,0,0.062,0.270,0.600,0.919,0.974
CD274,CD3E,9606.ENSP00000370989,9606.ENSP00000354566,0,0,0,0,0.062,0,0.900,0.478,0.946
CD274,CD247,9606.ENSP00000370989,9606.ENSP00000354782,0,0,0,0,0.062,0,0.900,0.608,0.960
CD274,HLA-DRA,9606.ENSP00000370989,9606.ENSP00000378786,0,0,0,0,0.090,0,0.900,0.347,0.935
CD274,HOXD13,9606.ENSP00000370989,9606.ENSP00000376322,0,0,0,0,0,0,0,0.959,0.959
