#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
CHST10,SEMA4C,9606.ENSP00000264249,9606.ENSP00000306844,0,0,0,0,0,0,0,0.645,0.645
DLG4,NRP1,9606.ENSP00000382428,9606.ENSP00000265371,0,0,0,0,0,0,0,0.692,0.693
DLG4,SEMA4C,9606.ENSP00000382428,9606.ENSP00000306844,0,0,0,0,0.071,0.482,0,0.661,0.823
DLG4,GIPC1,9606.ENSP00000382428,9606.ENSP00000376753,0,0,0,0,0,0,0,0.484,0.484
GIPC1,NRP1,9606.ENSP00000376753,9606.ENSP00000265371,0,0,0,0,0.042,0.705,0,0.989,0.996
GIPC1,SEMA4C,9606.ENSP00000376753,9606.ENSP00000306844,0,0,0,0,0.062,0.347,0,0.534,0.689
GIPC1,PLXNB1,9606.ENSP00000376753,9606.ENSP00000351338,0,0,0,0,0.076,0.158,0,0.399,0.492
GIPC1,NRP2,9606.ENSP00000376753,9606.ENSP00000353582,0,0,0,0,0,0.073,0,0.896,0.900
GIPC1,PLXNB2,9606.ENSP00000376753,9606.ENSP00000409171,0,0,0,0,0.088,0.158,0,0.381,0.483
GIPC1,DLG4,9606.ENSP00000376753,9606.ENSP00000382428,0,0,0,0,0,0,0,0.484,0.484
GIPC1,PLXNB3,9606.ENSP00000376753,9606.ENSP00000442736,0,0,0,0,0.096,0.158,0,0.429,0.527
GIPC3,SEMA4C,9606.ENSP00000319254,9606.ENSP00000306844,0,0,0,0,0.062,0.139,0,0.566,0.619
NRP1,NTN1,9606.ENSP00000265371,9606.ENSP00000173229,0,0,0,0,0,0,0,0.550,0.550
NRP1,DLG4,9606.ENSP00000265371,9606.ENSP00000382428,0,0,0,0,0,0,0,0.692,0.693
NRP1,SEMA4C,9606.ENSP00000265371,9606.ENSP00000306844,0,0,0,0,0,0.182,0,0.739,0.777
NRP1,PLXNB2,9606.ENSP00000265371,9606.ENSP00000409171,0,0,0,0,0.060,0.111,0.540,0.613,0.831
NRP1,NRP2,9606.ENSP00000265371,9606.ENSP00000353582,0,0,0,0.924,0.098,0.476,0.720,0.917,0.866
NRP1,PLXNB3,9606.ENSP00000265371,9606.ENSP00000442736,0,0,0,0,0,0.231,0.540,0.820,0.931
NRP1,PLXNB1,9606.ENSP00000265371,9606.ENSP00000351338,0,0,0,0,0,0.250,0.720,0.737,0.940
NRP1,GIPC1,9606.ENSP00000265371,9606.ENSP00000376753,0,0,0,0,0.042,0.705,0,0.989,0.996
NRP2,NTN1,9606.ENSP00000353582,9606.ENSP00000173229,0,0,0,0,0.062,0,0,0.489,0.500
NRP2,NRP1,9606.ENSP00000353582,9606.ENSP00000265371,0,0,0,0.924,0.098,0.476,0.720,0.917,0.866
NRP2,SEMA4C,9606.ENSP00000353582,9606.ENSP00000306844,0,0,0,0,0,0.103,0,0.736,0.753
NRP2,PLXNB1,9606.ENSP00000353582,9606.ENSP00000351338,0,0,0,0,0.062,0.250,0.720,0.614,0.913
NRP2,PLXNB2,9606.ENSP00000353582,9606.ENSP00000409171,0,0,0,0,0,0.111,0.540,0.569,0.808
NRP2,PLXNB3,9606.ENSP00000353582,9606.ENSP00000442736,0,0,0,0,0,0.111,0.540,0.611,0.827
NRP2,GIPC1,9606.ENSP00000353582,9606.ENSP00000376753,0,0,0,0,0,0.073,0,0.896,0.900
NTN1,PLXNB2,9606.ENSP00000173229,9606.ENSP00000409171,0,0,0,0,0.084,0,0,0.400,0.427
NTN1,PLXNB1,9606.ENSP00000173229,9606.ENSP00000351338,0,0,0,0,0.089,0,0,0.418,0.448
NTN1,NRP2,9606.ENSP00000173229,9606.ENSP00000353582,0,0,0,0,0.062,0,0,0.489,0.500
NTN1,PLXNB3,9606.ENSP00000173229,9606.ENSP00000442736,0,0,0,0,0.089,0,0,0.501,0.526
NTN1,NRP1,9606.ENSP00000173229,9606.ENSP00000265371,0,0,0,0,0,0,0,0.550,0.550
NTN1,SEMA4C,9606.ENSP00000173229,9606.ENSP00000306844,0,0,0,0,0,0.068,0,0.663,0.672
PLXNB1,NTN1,9606.ENSP00000351338,9606.ENSP00000173229,0,0,0,0,0.089,0,0,0.418,0.448
PLXNB1,NRP1,9606.ENSP00000351338,9606.ENSP00000265371,0,0,0,0,0,0.250,0.720,0.737,0.940
PLXNB1,SEMA4C,9606.ENSP00000351338,9606.ENSP00000306844,0,0,0,0.546,0.082,0.213,0.600,0.861,0.808
PLXNB1,GIPC1,9606.ENSP00000351338,9606.ENSP00000376753,0,0,0,0,0.076,0.158,0,0.399,0.492
PLXNB1,PLXNB3,9606.ENSP00000351338,9606.ENSP00000442736,0,0,0,0.931,0.126,0,0.800,0.555,0.824
PLXNB1,PLXNB2,9606.ENSP00000351338,9606.ENSP00000409171,0,0,0,0.895,0.115,0,0.800,0.774,0.830
PLXNB1,NRP2,9606.ENSP00000351338,9606.ENSP00000353582,0,0,0,0,0.062,0.250,0.720,0.614,0.913
PLXNB2,NTN1,9606.ENSP00000409171,9606.ENSP00000173229,0,0,0,0,0.084,0,0,0.400,0.427
PLXNB2,NRP1,9606.ENSP00000409171,9606.ENSP00000265371,0,0,0,0,0.060,0.111,0.540,0.613,0.831
PLXNB2,SEMA4C,9606.ENSP00000409171,9606.ENSP00000306844,0,0,0,0.545,0.063,0.213,0.600,0.975,0.821
PLXNB2,PLXNB1,9606.ENSP00000409171,9606.ENSP00000351338,0,0,0,0.895,0.115,0,0.800,0.774,0.830
PLXNB2,NRP2,9606.ENSP00000409171,9606.ENSP00000353582,0,0,0,0,0,0.111,0.540,0.569,0.808
PLXNB2,GIPC1,9606.ENSP00000409171,9606.ENSP00000376753,0,0,0,0,0.088,0.158,0,0.381,0.483
PLXNB2,PLXNB3,9606.ENSP00000409171,9606.ENSP00000442736,0,0,0,0.878,0.099,0,0.800,0.606,0.825
