#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DAXX	MDM2	9606.ENSP00000363668	9606.ENSP00000258149	0	0	0	0	0	0.881	0.900	0.989	0.999
DAXX	TP53	9606.ENSP00000363668	9606.ENSP00000269305	0	0	0	0	0.062	0.894	0.800	0.966	0.999
DAXX	USP7	9606.ENSP00000363668	9606.ENSP00000343535	0	0	0	0	0.065	0.759	0.900	0.988	0.999
DAXX	DNMT1	9606.ENSP00000363668	9606.ENSP00000352516	0	0	0	0	0.066	0.865	0	0.959	0.994
DAXX	MDM4	9606.ENSP00000363668	9606.ENSP00000356150	0	0	0	0	0	0.297	0.600	0.340	0.798
DAXX	UBC	9606.ENSP00000363668	9606.ENSP00000441543	0	0	0	0	0.062	0.130	0.900	0	0.911
DNMT1	MDM2	9606.ENSP00000352516	9606.ENSP00000258149	0	0	0	0	0	0	0	0.408	0.408
DNMT1	TP53	9606.ENSP00000352516	9606.ENSP00000269305	0	0	0	0	0.072	0.486	0	0.986	0.993
DNMT1	USP7	9606.ENSP00000352516	9606.ENSP00000343535	0	0	0	0	0.063	0.977	0	0.988	0.999
DNMT1	GMPS	9606.ENSP00000352516	9606.ENSP00000419851	0.215	0	0	0	0.220	0	0	0.188	0.459
DNMT1	UBC	9606.ENSP00000352516	9606.ENSP00000441543	0	0	0	0	0.049	0.815	0	0.177	0.842
DNMT1	DAXX	9606.ENSP00000352516	9606.ENSP00000363668	0	0	0	0	0.066	0.865	0	0.959	0.994
DNMT1	UHRF1	9606.ENSP00000352516	9606.ENSP00000479617	0.167	0	0	0	0.339	0.995	0.800	0.991	0.999
GMPS	TP53	9606.ENSP00000419851	9606.ENSP00000269305	0	0	0	0	0	0.270	0	0.282	0.453
GMPS	USP7	9606.ENSP00000419851	9606.ENSP00000343535	0	0	0	0	0.076	0.961	0	0.987	0.999
GMPS	DNMT1	9606.ENSP00000419851	9606.ENSP00000352516	0.215	0	0	0	0.220	0	0	0.188	0.459
GMPS	UHRF1	9606.ENSP00000419851	9606.ENSP00000479617	0.161	0	0	0	0.106	0	0	0.338	0.461
MDM2	DNMT1	9606.ENSP00000258149	9606.ENSP00000352516	0	0	0	0	0	0	0	0.408	0.408
MDM2	UBC	9606.ENSP00000258149	9606.ENSP00000441543	0	0	0	0	0	0.969	0.900	0.261	0.997
MDM2	USP7	9606.ENSP00000258149	9606.ENSP00000343535	0	0	0	0	0.062	0.920	0.900	0.989	0.999
MDM2	MDM4	9606.ENSP00000258149	9606.ENSP00000356150	0	0	0	0.795	0.083	0.998	0.900	0.992	0.999
MDM2	DAXX	9606.ENSP00000258149	9606.ENSP00000363668	0	0	0	0	0	0.881	0.900	0.989	0.999
