#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AURKA	CASP3	9606.ENSP00000216911	9606.ENSP00000311032	0	0	0	0	0.062	0	0	0.421	0.434
AURKA	RAN	9606.ENSP00000216911	9606.ENSP00000446215	0	0	0	0	0.132	0	0	0.404	0.461
AURKA	KPNA2	9606.ENSP00000216911	9606.ENSP00000438483	0	0	0	0	0.881	0	0	0.367	0.921
AURKA	NUMA1	9606.ENSP00000216911	9606.ENSP00000377298	0	0	0	0	0	0	0.900	0.416	0.939
AURKA	CCNB1	9606.ENSP00000216911	9606.ENSP00000256442	0	0	0	0	0.926	0.165	0	0.821	0.988
AURKA	KIF15	9606.ENSP00000216911	9606.ENSP00000324020	0	0	0	0	0.755	0.146	0.900	0.638	0.991
AURKA	TPX2	9606.ENSP00000216911	9606.ENSP00000300403	0	0	0	0	0.952	0.978	0.900	0.990	0.999
CASP3	AURKA	9606.ENSP00000311032	9606.ENSP00000216911	0	0	0	0	0.062	0	0	0.421	0.434
CASP3	CCNB1	9606.ENSP00000311032	9606.ENSP00000256442	0	0	0	0	0.085	0	0	0.808	0.817
CASP3	KPNB1	9606.ENSP00000311032	9606.ENSP00000290158	0	0	0	0	0.062	0	0.650	0.170	0.703
CASP3	NUMA1	9606.ENSP00000311032	9606.ENSP00000377298	0	0	0	0	0	0	0.900	0.261	0.922
CCNB1	AURKA	9606.ENSP00000256442	9606.ENSP00000216911	0	0	0	0	0.926	0.165	0	0.821	0.988
CCNB1	CASP3	9606.ENSP00000256442	9606.ENSP00000311032	0	0	0	0	0.085	0	0	0.808	0.817
CCNB1	KIF15	9606.ENSP00000256442	9606.ENSP00000324020	0	0	0	0	0.835	0.139	0	0.401	0.907
CCNB1	NUMA1	9606.ENSP00000256442	9606.ENSP00000377298	0	0	0	0	0.045	0	0.900	0.257	0.922
CCNB1	KPNA2	9606.ENSP00000256442	9606.ENSP00000438483	0	0	0	0	0.926	0.193	0	0.393	0.961
CCNB1	TPX2	9606.ENSP00000256442	9606.ENSP00000300403	0	0	0	0	0.945	0	0	0.523	0.973
EPB41	NUMA1	9606.ENSP00000345259	9606.ENSP00000377298	0	0	0	0	0	0.270	0	0.938	0.953
KIF15	AURKA	9606.ENSP00000324020	9606.ENSP00000216911	0	0	0	0	0.755	0.146	0.900	0.638	0.991
KIF15	CCNB1	9606.ENSP00000324020	9606.ENSP00000256442	0	0	0	0	0.835	0.139	0	0.401	0.907
KIF15	TPX2	9606.ENSP00000324020	9606.ENSP00000300403	0	0	0	0	0.820	0	0.900	0.948	0.999
KIF15	KPNA2	9606.ENSP00000324020	9606.ENSP00000438483	0	0	0	0	0.363	0.057	0	0.349	0.575
KIF15	NUMA1	9606.ENSP00000324020	9606.ENSP00000377298	0	0	0	0	0.066	0	0.900	0.250	0.923
KPNA2	AURKA	9606.ENSP00000438483	9606.ENSP00000216911	0	0	0	0	0.881	0	0	0.367	0.921
KPNA2	CCNB1	9606.ENSP00000438483	9606.ENSP00000256442	0	0	0	0	0.926	0.193	0	0.393	0.961
KPNA2	KPNB1	9606.ENSP00000438483	9606.ENSP00000290158	0	0	0	0	0.199	0.991	0.900	0.949	0.999
KPNA2	TPX2	9606.ENSP00000438483	9606.ENSP00000300403	0	0	0	0	0.825	0.122	0.900	0.688	0.994
KPNA2	KIF15	9606.ENSP00000438483	9606.ENSP00000324020	0	0	0	0	0.363	0.057	0	0.349	0.575
KPNA2	NUMA1	9606.ENSP00000438483	9606.ENSP00000377298	0	0	0	0	0	0	0.900	0.304	0.927
KPNA2	RAN	9606.ENSP00000438483	9606.ENSP00000446215	0	0	0	0	0.211	0.649	0.900	0.664	0.989
KPNB1	CASP3	9606.ENSP00000290158	9606.ENSP00000311032	0	0	0	0	0.062	0	0.650	0.170	0.703
KPNB1	TPX2	9606.ENSP00000290158	9606.ENSP00000300403	0	0	0	0	0.138	0.270	0.900	0.123	0.937
KPNB1	NUMA1	9606.ENSP00000290158	9606.ENSP00000377298	0	0	0	0	0.077	0.270	0.900	0.359	0.951
KPNB1	RAN	9606.ENSP00000290158	9606.ENSP00000446215	0	0	0	0	0.574	0.995	0.900	0.871	0.999
KPNB1	KPNA2	9606.ENSP00000290158	9606.ENSP00000438483	0	0	0	0	0.199	0.991	0.900	0.949	0.999
NUMA1	AURKA	9606.ENSP00000377298	9606.ENSP00000216911	0	0	0	0	0	0	0.900	0.416	0.939
