#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.898	0.900	0.852	0.998
AKT1	PHLPP1	9606.ENSP00000451828	9606.ENSP00000262719	0	0	0	0	0.062	0.731	0.900	0.981	0.999
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0	0.885	0.900	0.903	0.998
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.064	0.880	0.900	0.903	0.998
AKT1	APPL1	9606.ENSP00000451828	9606.ENSP00000288266	0	0	0	0	0.062	0.863	0.900	0.988	0.999
AKT1	RICTOR	9606.ENSP00000451828	9606.ENSP00000296782	0	0	0	0	0.062	0.893	0.900	0.897	0.998
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0.049	0.879	0.900	0.988	0.999
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.062	0.946	0.900	0.991	0.999
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.081	0.904	0.900	0.991	0.999
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000385824	0	0	0	0	0.055	0.939	0.900	0.972	0.999
APPL1	PIK3CA	9606.ENSP00000288266	9606.ENSP00000263967	0	0	0	0	0.082	0.610	0	0.729	0.894
APPL1	AKT1	9606.ENSP00000288266	9606.ENSP00000451828	0	0	0	0	0.062	0.863	0.900	0.988	0.999
EP300	MDM2	9606.ENSP00000263253	9606.ENSP00000258149	0	0	0	0	0	0.874	0.900	0.989	0.999
EP300	PIK3CA	9606.ENSP00000263253	9606.ENSP00000263967	0	0	0	0	0.062	0.203	0	0.467	0.567
EP300	HSP90AA1	9606.ENSP00000263253	9606.ENSP00000335153	0	0.005	0	0	0	0.285	0	0.475	0.609
EP300	MTOR	9606.ENSP00000263253	9606.ENSP00000354558	0	0	0	0	0.065	0.393	0	0.399	0.629
EP300	NOS3	9606.ENSP00000263253	9606.ENSP00000297494	0	0	0	0	0.049	0	0.900	0.294	0.926
EP300	FOXO3	9606.ENSP00000263253	9606.ENSP00000385824	0	0	0	0	0.086	0.764	0.900	0.871	0.996
EP300	AKT1	9606.ENSP00000263253	9606.ENSP00000451828	0	0	0	0	0	0.885	0.900	0.903	0.998
FOXO3	MDM2	9606.ENSP00000385824	9606.ENSP00000258149	0	0	0	0	0.122	0.839	0	0.983	0.997
FOXO3	PHLPP1	9606.ENSP00000385824	9606.ENSP00000262719	0	0	0	0	0.064	0.063	0	0.408	0.435
FOXO3	EP300	9606.ENSP00000385824	9606.ENSP00000263253	0	0	0	0	0.086	0.764	0.900	0.871	0.996
FOXO3	PIK3CA	9606.ENSP00000385824	9606.ENSP00000263967	0	0	0	0	0.062	0.588	0	0.718	0.881
FOXO3	RICTOR	9606.ENSP00000385824	9606.ENSP00000296782	0	0	0	0	0.062	0.288	0	0.794	0.851
FOXO3	NOS3	9606.ENSP00000385824	9606.ENSP00000297494	0	0	0	0	0	0.142	0	0.497	0.550
FOXO3	HSP90AA1	9606.ENSP00000385824	9606.ENSP00000335153	0	0	0	0	0	0.058	0	0.622	0.629
FOXO3	MTOR	9606.ENSP00000385824	9606.ENSP00000354558	0	0	0	0	0.064	0.133	0	0.836	0.855
FOXO3	AKT1	9606.ENSP00000385824	9606.ENSP00000451828	0	0	0	0	0.055	0.939	0.900	0.972	0.999
HSP90AA1	MDM2	9606.ENSP00000335153	9606.ENSP00000258149	0	0	0	0	0	0.675	0	0.951	0.983
