#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
EIF4A1,GPRC5A,9606.ENSP00000293831,9606.ENSP00000014914,0,0,0,0,0.062,0.271,0,0.701,0.778
EIF4A1,SLC25A3,9606.ENSP00000293831,9606.ENSP00000228318,0,0,0,0,0.151,0.078,0,0.562,0.627
EIF4A1,GTF2F2,9606.ENSP00000293831,9606.ENSP00000340823,0,0,0,0,0.100,0,0,0.567,0.594
EIF4A1,NOLC1,9606.ENSP00000293831,9606.ENSP00000385410,0,0,0,0,0.162,0.059,0,0.590,0.649
FXYD3,GPRC5A,9606.ENSP00000473929,9606.ENSP00000014914,0,0,0,0,0.098,0,0,0.648,0.669
FXYD3,SLC25A3,9606.ENSP00000473929,9606.ENSP00000228318,0,0,0,0,0,0,0,0.419,0.418
FXYD3,GTF2F2,9606.ENSP00000473929,9606.ENSP00000340823,0,0,0,0,0,0,0,0.425,0.425
FXYD3,NOLC1,9606.ENSP00000473929,9606.ENSP00000385410,0,0,0,0,0,0,0,0.419,0.418
GPRC5A,NOLC1,9606.ENSP00000014914,9606.ENSP00000385410,0,0,0,0,0,0.271,0,0.486,0.609
GPRC5A,TSPEAR,9606.ENSP00000014914,9606.ENSP00000321987,0,0,0,0,0,0,0,0.615,0.615
GPRC5A,KRTCAP3,9606.ENSP00000014914,9606.ENSP00000442400,0,0,0,0,0.062,0,0,0.615,0.624
GPRC5A,RARS,9606.ENSP00000014914,9606.ENSP00000231572,0,0,0,0,0,0,0,0.651,0.651
GPRC5A,SLC25A3,9606.ENSP00000014914,9606.ENSP00000228318,0,0,0,0,0,0.271,0,0.559,0.664
GPRC5A,FXYD3,9606.ENSP00000014914,9606.ENSP00000473929,0,0,0,0,0.098,0,0,0.648,0.669
GPRC5A,SMYD5,9606.ENSP00000014914,9606.ENSP00000374152,0,0,0,0,0,0,0,0.673,0.673
GPRC5A,GTF2F2,9606.ENSP00000014914,9606.ENSP00000340823,0,0,0,0,0,0.271,0,0.580,0.681
GPRC5A,EIF4A1,9606.ENSP00000014914,9606.ENSP00000293831,0,0,0,0,0.062,0.271,0,0.701,0.778
GPRC5A,GRM2,9606.ENSP00000014914,9606.ENSP00000378492,0,0,0,0,0,0,0,0.819,0.819
GRM2,GPRC5A,9606.ENSP00000378492,9606.ENSP00000014914,0,0,0,0,0,0,0,0.819,0.819
GTF2F2,GPRC5A,9606.ENSP00000340823,9606.ENSP00000014914,0,0,0,0,0,0.271,0,0.580,0.681
GTF2F2,SLC25A3,9606.ENSP00000340823,9606.ENSP00000228318,0,0,0,0,0,0,0,0.654,0.654
GTF2F2,EIF4A1,9606.ENSP00000340823,9606.ENSP00000293831,0,0,0,0,0.100,0,0,0.567,0.594
GTF2F2,FXYD3,9606.ENSP00000340823,9606.ENSP00000473929,0,0,0,0,0,0,0,0.425,0.425
GTF2F2,NOLC1,9606.ENSP00000340823,9606.ENSP00000385410,0,0,0,0,0.085,0,0,0.674,0.689
KRTCAP3,GPRC5A,9606.ENSP00000442400,9606.ENSP00000014914,0,0,0,0,0.062,0,0,0.615,0.624
KRTCAP3,TSPEAR,9606.ENSP00000442400,9606.ENSP00000321987,0,0,0,0,0,0,0,0.704,0.704
NOLC1,GPRC5A,9606.ENSP00000385410,9606.ENSP00000014914,0,0,0,0,0,0.271,0,0.486,0.609
NOLC1,SLC25A3,9606.ENSP00000385410,9606.ENSP00000228318,0,0,0,0,0.067,0,0,0.660,0.669
NOLC1,EIF4A1,9606.ENSP00000385410,9606.ENSP00000293831,0,0,0,0,0.162,0.059,0,0.590,0.649
NOLC1,GTF2F2,9606.ENSP00000385410,9606.ENSP00000340823,0,0,0,0,0.085,0,0,0.674,0.689
NOLC1,FXYD3,9606.ENSP00000385410,9606.ENSP00000473929,0,0,0,0,0,0,0,0.419,0.418
RARS,GPRC5A,9606.ENSP00000231572,9606.ENSP00000014914,0,0,0,0,0,0,0,0.651,0.651
RARS,SMYD5,9606.ENSP00000231572,9606.ENSP00000374152,0,0,0,0,0.074,0,0,0.438,0.458
SLC25A3,GPRC5A,9606.ENSP00000228318,9606.ENSP00000014914,0,0,0,0,0,0.271,0,0.559,0.664
SLC25A3,FXYD3,9606.ENSP00000228318,9606.ENSP00000473929,0,0,0,0,0,0,0,0.419,0.418
SLC25A3,EIF4A1,9606.ENSP00000228318,9606.ENSP00000293831,0,0,0,0,0.151,0.078,0,0.562,0.627
SLC25A3,GTF2F2,9606.ENSP00000228318,9606.ENSP00000340823,0,0,0,0,0,0,0,0.654,0.654
SLC25A3,NOLC1,9606.ENSP00000228318,9606.ENSP00000385410,0,0,0,0,0.067,0,0,0.660,0.669
SMYD5,GPRC5A,9606.ENSP00000374152,9606.ENSP00000014914,0,0,0,0,0,0,0,0.673,0.673
SMYD5,RARS,9606.ENSP00000374152,9606.ENSP00000231572,0,0,0,0,0.074,0,0,0.438,0.458
TSPEAR,GPRC5A,9606.ENSP00000321987,9606.ENSP00000014914,0,0,0,0,0,0,0,0.615,0.615
TSPEAR,KRTCAP3,9606.ENSP00000321987,9606.ENSP00000442400,0,0,0,0,0,0,0,0.704,0.704
