#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AURKA,HDAC2,9606.ENSP00000216911,9606.ENSP00000430432,0,0,0,0,0.097,0.270,0,0.172,0.406
AURKA,CDKN2A,9606.ENSP00000216911,9606.ENSP00000418915,0,0,0,0,0.063,0.129,0,0.468,0.528
AURKA,EZH2,9606.ENSP00000216911,9606.ENSP00000320147,0,0,0,0,0.345,0.140,0,0.479,0.681
AURKA,FBXW7,9606.ENSP00000216911,9606.ENSP00000281708,0,0,0,0,0.062,0.675,0,0.541,0.848
AURKA,MYCN,9606.ENSP00000216911,9606.ENSP00000281043,0,0,0,0,0.062,0.973,0,0.946,0.998
AURKA,TP53,9606.ENSP00000216911,9606.ENSP00000269305,0,0,0,0,0.096,0.875,0.900,0.935,0.999
CDKN2A,AURKA,9606.ENSP00000418915,9606.ENSP00000216911,0,0,0,0,0.063,0.129,0,0.468,0.528
CDKN2A,TP53,9606.ENSP00000418915,9606.ENSP00000269305,0,0,0,0,0,0.897,0.900,0.915,0.999
CDKN2A,MYCN,9606.ENSP00000418915,9606.ENSP00000281043,0,0,0,0,0,0.285,0,0.794,0.847
CDKN2A,FBXW7,9606.ENSP00000418915,9606.ENSP00000281708,0,0,0,0,0,0.060,0,0.633,0.641
CDKN2A,EZH2,9606.ENSP00000418915,9606.ENSP00000320147,0,0,0,0,0.049,0.093,0,0.705,0.723
CDKN2A,MAX,9606.ENSP00000418915,9606.ENSP00000351490,0,0,0,0,0,0.057,0.900,0.164,0.914
CDKN2A,HDAC1,9606.ENSP00000418915,9606.ENSP00000362649,0,0,0,0,0.062,0.320,0.900,0.543,0.967
CDKN2A,HDAC2,9606.ENSP00000418915,9606.ENSP00000430432,0,0,0,0,0.062,0.107,0,0.455,0.503
EZH2,KDM4B,9606.ENSP00000320147,9606.ENSP00000159111,0,0,0,0,0.062,0.071,0,0.511,0.537
EZH2,AURKA,9606.ENSP00000320147,9606.ENSP00000216911,0,0,0,0,0.345,0.140,0,0.479,0.681
EZH2,TP53,9606.ENSP00000320147,9606.ENSP00000269305,0,0,0,0,0.094,0.152,0.650,0.748,0.923
EZH2,MYCN,9606.ENSP00000320147,9606.ENSP00000281043,0,0,0,0,0,0.496,0,0.889,0.941
