#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
BCL2,BIK,9606.ENSP00000381185,9606.ENSP00000216115,0,0,0,0,0,0.880,0.900,0.295,0.990
BCL2,HRK,9606.ENSP00000381185,9606.ENSP00000257572,0,0,0,0,0,0.867,0,0.322,0.905
BCL2,BCL2A1,9606.ENSP00000381185,9606.ENSP00000267953,0,0,0,0.701,0.070,0,0.900,0.380,0.913
BCL2,BCL2L1,9606.ENSP00000381185,9606.ENSP00000302564,0,0,0,0.898,0,0.870,0.900,0.627,0.987
BCL2,PMAIP1,9606.ENSP00000381185,9606.ENSP00000326119,0,0,0,0,0,0.820,0.800,0.406,0.976
BCL2,BMF,9606.ENSP00000381185,9606.ENSP00000346697,0,0,0,0,0.063,0.544,0.600,0.378,0.879
BCL2,MCL1,9606.ENSP00000381185,9606.ENSP00000358022,0,0,0,0.628,0,0.492,0.900,0.605,0.958
BCL2,BCL2L11,9606.ENSP00000381185,9606.ENSP00000376943,0,0,0,0,0,0.931,0.800,0.519,0.992
BCL2A1,BIK,9606.ENSP00000267953,9606.ENSP00000216115,0,0,0,0,0,0.876,0,0.741,0.966
BCL2A1,HRK,9606.ENSP00000267953,9606.ENSP00000257572,0,0,0,0,0,0.488,0,0.781,0.884
BCL2A1,BCL2,9606.ENSP00000267953,9606.ENSP00000381185,0,0,0,0.701,0.070,0,0.900,0.380,0.913
BCL2A1,BCL2L1,9606.ENSP00000267953,9606.ENSP00000302564,0,0,0,0.651,0,0,0.900,0.802,0.927
BCL2A1,MCL1,9606.ENSP00000267953,9606.ENSP00000358022,0,0,0,0.653,0.062,0,0.900,0.867,0.931
BCL2A1,BMF,9606.ENSP00000267953,9606.ENSP00000346697,0,0,0,0,0.062,0.856,0,0.641,0.947
BCL2A1,PMAIP1,9606.ENSP00000267953,9606.ENSP00000326119,0,0,0,0,0.062,0.904,0,0.930,0.993
BCL2A1,BCL2L11,9606.ENSP00000267953,9606.ENSP00000376943,0,0,0,0,0,0.941,0,0.955,0.997
BCL2L1,BIK,9606.ENSP00000302564,9606.ENSP00000216115,0,0,0,0,0,0.879,0.900,0.941,0.999
BCL2L1,BCL2L2,9606.ENSP00000302564,9606.ENSP00000250405,0,0,0,0.911,0.065,0.105,0.540,0.871,0.613
BCL2L1,HRK,9606.ENSP00000302564,9606.ENSP00000257572,0,0,0,0,0,0.871,0,0.988,0.998
BCL2L1,BCL2A1,9606.ENSP00000302564,9606.ENSP00000267953,0,0,0,0.651,0,0,0.900,0.802,0.927
BCL2L1,MCL1,9606.ENSP00000302564,9606.ENSP00000358022,0,0,0,0.622,0,0.500,0.900,0.943,0.966
BCL2L1,BCL2,9606.ENSP00000302564,9606.ENSP00000381185,0,0,0,0.898,0,0.870,0.900,0.627,0.987
BCL2L1,BMF,9606.ENSP00000302564,9606.ENSP00000346697,0,0,0,0,0,0.813,0,0.960,0.992
BCL2L1,BCL2L11,9606.ENSP00000302564,9606.ENSP00000376943,0,0,0,0,0,0.972,0.900,0.989,0.999
BCL2L1,PMAIP1,9606.ENSP00000302564,9606.ENSP00000326119,0,0,0,0,0,0.820,0.800,0.985,0.999
BCL2L11,BIK,9606.ENSP00000376943,9606.ENSP00000216115,0,0,0,0,0,0.417,0,0.766,0.857
BCL2L11,BCL2L2,9606.ENSP00000376943,9606.ENSP00000250405,0,0,0,0,0,0.885,0.540,0.974,0.998
BCL2L11,HRK,9606.ENSP00000376943,9606.ENSP00000257572,0,0,0,0,0,0,0,0.834,0.834
BCL2L11,BCL2A1,9606.ENSP00000376943,9606.ENSP00000267953,0,0,0,0,0,0.941,0,0.955,0.997
BCL2L11,BCL2L1,9606.ENSP00000376943,9606.ENSP00000302564,0,0,0,0,0,0.972,0.900,0.989,0.999
BCL2L11,PMAIP1,9606.ENSP00000376943,9606.ENSP00000326119,0,0,0,0,0,0.417,0.800,0.876,0.984
BCL2L11,BMF,9606.ENSP00000376943,9606.ENSP00000346697,0,0,0,0,0.065,0,0,0.857,0.861
BCL2L11,MCL1,9606.ENSP00000376943,9606.ENSP00000358022,0,0,0,0,0,0.994,0.900,0.989,0.999
BCL2L11,BCL2,9606.ENSP00000376943,9606.ENSP00000381185,0,0,0,0,0,0.931,0.800,0.519,0.992
BCL2L2,BIK,9606.ENSP00000250405,9606.ENSP00000216115,0,0,0,0,0,0.872,0,0.795,0.972
BCL2L2,BCL2L1,9606.ENSP00000250405,9606.ENSP00000302564,0,0,0,0.911,0.065,0.105,0.540,0.871,0.613
BCL2L2,BMF,9606.ENSP00000250405,9606.ENSP00000346697,0,0,0,0,0,0.530,0,0.838,0.920
BCL2L2,HRK,9606.ENSP00000250405,9606.ENSP00000257572,0,0,0,0,0,0.488,0,0.858,0.924
BCL2L2,MCL1,9606.ENSP00000250405,9606.ENSP00000358022,0,0,0,0,0,0,0.540,0.890,0.947
BCL2L2,PMAIP1,9606.ENSP00000250405,9606.ENSP00000326119,0,0,0,0,0,0.543,0,0.937,0.970
BCL2L2,BCL2L11,9606.ENSP00000250405,9606.ENSP00000376943,0,0,0,0,0,0.885,0.540,0.974,0.998
BIK,PMAIP1,9606.ENSP00000216115,9606.ENSP00000326119,0,0,0,0,0,0,0,0.786,0.787
BIK,BMF,9606.ENSP00000216115,9606.ENSP00000346697,0,0,0,0,0,0,0,0.812,0.812
BIK,HRK,9606.ENSP00000216115,9606.ENSP00000257572,0,0,0,0,0,0,0,0.822,0.822
BIK,BCL2L11,9606.ENSP00000216115,9606.ENSP00000376943,0,0,0,0,0,0.417,0,0.766,0.857
BIK,MCL1,9606.ENSP00000216115,9606.ENSP00000358022,0,0,0,0,0,0.817,0,0.820,0.965
BIK,BCL2A1,9606.ENSP00000216115,9606.ENSP00000267953,0,0,0,0,0,0.876,0,0.741,0.966
BIK,BCL2L2,9606.ENSP00000216115,9606.ENSP00000250405,0,0,0,0,0,0.872,0,0.795,0.972
BIK,BCL2,9606.ENSP00000216115,9606.ENSP00000381185,0,0,0,0,0,0.880,0.900,0.295,0.990
BIK,BCL2L1,9606.ENSP00000216115,9606.ENSP00000302564,0,0,0,0,0,0.879,0.900,0.941,0.999
BMF,BIK,9606.ENSP00000346697,9606.ENSP00000216115,0,0,0,0,0,0,0,0.812,0.812
BMF,BCL2L2,9606.ENSP00000346697,9606.ENSP00000250405,0,0,0,0,0,0.530,0,0.838,0.920
BMF,HRK,9606.ENSP00000346697,9606.ENSP00000257572,0,0,0,0,0,0,0,0.852,0.852
BMF,BCL2A1,9606.ENSP00000346697,9606.ENSP00000267953,0,0,0,0,0.062,0.856,0,0.641,0.947
BMF,BCL2L1,9606.ENSP00000346697,9606.ENSP00000302564,0,0,0,0,0,0.813,0,0.960,0.992
BMF,PMAIP1,9606.ENSP00000346697,9606.ENSP00000326119,0,0,0,0,0,0,0,0.811,0.811
BMF,BCL2L11,9606.ENSP00000346697,9606.ENSP00000376943,0,0,0,0,0.065,0,0,0.857,0.861
BMF,BCL2,9606.ENSP00000346697,9606.ENSP00000381185,0,0,0,0,0.063,0.544,0.600,0.378,0.879
BMF,MCL1,9606.ENSP00000346697,9606.ENSP00000358022,0,0,0,0,0,0.771,0,0.899,0.976
HRK,BIK,9606.ENSP00000257572,9606.ENSP00000216115,0,0,0,0,0,0,0,0.822,0.822
HRK,BCL2L2,9606.ENSP00000257572,9606.ENSP00000250405,0,0,0,0,0,0.488,0,0.858,0.924
HRK,PMAIP1,9606.ENSP00000257572,9606.ENSP00000326119,0,0,0,0,0,0,0,0.828,0.828
HRK,TFDP3,9606.ENSP00000257572,9606.ENSP00000385461,0,0,0,0,0,0,0,0.833,0.833
HRK,BCL2L11,9606.ENSP00000257572,9606.ENSP00000376943,0,0,0,0,0,0,0,0.834,0.834
HRK,BMF,9606.ENSP00000257572,9606.ENSP00000346697,0,0,0,0,0,0,0,0.852,0.852
HRK,BCL2A1,9606.ENSP00000257572,9606.ENSP00000267953,0,0,0,0,0,0.488,0,0.781,0.884
HRK,BCL2,9606.ENSP00000257572,9606.ENSP00000381185,0,0,0,0,0,0.867,0,0.322,0.905
HRK,MCL1,9606.ENSP00000257572,9606.ENSP00000358022,0,0,0,0,0,0.677,0,0.851,0.950
HRK,BCL2L1,9606.ENSP00000257572,9606.ENSP00000302564,0,0,0,0,0,0.871,0,0.988,0.998
MCL1,BIK,9606.ENSP00000358022,9606.ENSP00000216115,0,0,0,0,0,0.817,0,0.820,0.965
MCL1,BCL2L2,9606.ENSP00000358022,9606.ENSP00000250405,0,0,0,0,0,0,0.540,0.890,0.947
MCL1,HRK,9606.ENSP00000358022,9606.ENSP00000257572,0,0,0,0,0,0.677,0,0.851,0.950
MCL1,BCL2A1,9606.ENSP00000358022,9606.ENSP00000267953,0,0,0,0.653,0.062,0,0.900,0.867,0.931
MCL1,BCL2L1,9606.ENSP00000358022,9606.ENSP00000302564,0,0,0,0.622,0,0.500,0.900,0.943,0.966
MCL1,PMAIP1,9606.ENSP00000358022,9606.ENSP00000326119,0,0,0,0,0,0.978,0,0.989,0.999
MCL1,BMF,9606.ENSP00000358022,9606.ENSP00000346697,0,0,0,0,0,0.771,0,0.899,0.976
MCL1,BCL2,9606.ENSP00000358022,9606.ENSP00000381185,0,0,0,0.628,0,0.492,0.900,0.605,0.958
MCL1,BCL2L11,9606.ENSP00000358022,9606.ENSP00000376943,0,0,0,0,0,0.994,0.900,0.989,0.999
PMAIP1,BIK,9606.ENSP00000326119,9606.ENSP00000216115,0,0,0,0,0,0,0,0.786,0.787
PMAIP1,BCL2L2,9606.ENSP00000326119,9606.ENSP00000250405,0,0,0,0,0,0.543,0,0.937,0.970
PMAIP1,HRK,9606.ENSP00000326119,9606.ENSP00000257572,0,0,0,0,0,0,0,0.828,0.828
PMAIP1,BCL2A1,9606.ENSP00000326119,9606.ENSP00000267953,0,0,0,0,0.062,0.904,0,0.930,0.993
PMAIP1,BCL2L1,9606.ENSP00000326119,9606.ENSP00000302564,0,0,0,0,0,0.820,0.800,0.985,0.999
PMAIP1,BMF,9606.ENSP00000326119,9606.ENSP00000346697,0,0,0,0,0,0,0,0.811,0.811
PMAIP1,BCL2,9606.ENSP00000326119,9606.ENSP00000381185,0,0,0,0,0,0.820,0.800,0.406,0.976
PMAIP1,BCL2L11,9606.ENSP00000326119,9606.ENSP00000376943,0,0,0,0,0,0.417,0.800,0.876,0.984
PMAIP1,MCL1,9606.ENSP00000326119,9606.ENSP00000358022,0,0,0,0,0,0.978,0,0.989,0.999
