#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATP6V0D2	SLC7A13	9606.ENSP00000285393	9606.ENSP00000297524	0	0	0	0	0.062	0	0	0.500	0.511
ATP6V0D2	CPNE3	9606.ENSP00000285393	9606.ENSP00000477590	0	0	0	0	0	0	0	0.667	0.667
CNBD1	SLC7A13	9606.ENSP00000430073	9606.ENSP00000297524	0	0	0	0	0	0	0	0.442	0.442
CNBD1	CNGB3	9606.ENSP00000430073	9606.ENSP00000316605	0	0	0	0	0.054	0	0	0.604	0.610
CNBD1	CPNE3	9606.ENSP00000430073	9606.ENSP00000477590	0	0	0	0	0	0	0	0.718	0.718
CNGB3	SLC7A13	9606.ENSP00000316605	9606.ENSP00000297524	0	0	0	0	0	0	0	0.501	0.501
CNGB3	CNBD1	9606.ENSP00000316605	9606.ENSP00000430073	0	0	0	0	0.054	0	0	0.604	0.610
CNGB3	CPNE3	9606.ENSP00000316605	9606.ENSP00000477590	0	0	0	0	0	0	0	0.695	0.695
COPS5	ERBB2	9606.ENSP00000350512	9606.ENSP00000269571	0	0	0	0	0	0.139	0	0.381	0.444
COPS5	CPNE3	9606.ENSP00000350512	9606.ENSP00000477590	0	0	0	0	0.104	0.281	0	0.460	0.622
CPNE3	EMP1	9606.ENSP00000477590	9606.ENSP00000256951	0	0	0	0	0.062	0	0	0.492	0.504
CPNE3	ERBB2	9606.ENSP00000477590	9606.ENSP00000269571	0	0	0	0	0.062	0.270	0	0.917	0.938
CPNE3	ATP6V0D2	9606.ENSP00000477590	9606.ENSP00000285393	0	0	0	0	0	0	0	0.667	0.667
CPNE3	SLC7A13	9606.ENSP00000477590	9606.ENSP00000297524	0	0	0	0	0	0	0	0.751	0.751
CPNE3	CNGB3	9606.ENSP00000477590	9606.ENSP00000316605	0	0	0	0	0	0	0	0.695	0.695
CPNE3	UBE2O	9606.ENSP00000477590	9606.ENSP00000323687	0	0	0	0	0.064	0.171	0	0.667	0.719
CPNE3	COPS5	9606.ENSP00000477590	9606.ENSP00000350512	0	0	0	0	0.104	0.281	0	0.460	0.622
CPNE3	RBM12B	9606.ENSP00000477590	9606.ENSP00000382239	0	0.001	0	0	0	0	0	0.665	0.665
CPNE3	CNBD1	9606.ENSP00000477590	9606.ENSP00000430073	0	0	0	0	0	0	0	0.718	0.718
CPNE3	NTRK1	9606.ENSP00000477590	9606.ENSP00000431418	0	0	0	0	0	0.078	0	0.459	0.480
EMP1	CPNE3	9606.ENSP00000256951	9606.ENSP00000477590	0	0	0	0	0.062	0	0	0.492	0.504
ERBB2	COPS5	9606.ENSP00000269571	9606.ENSP00000350512	0	0	0	0	0	0.139	0	0.381	0.444
ERBB2	NTRK1	9606.ENSP00000269571	9606.ENSP00000431418	0	0	0	0.602	0.091	0.377	0	0.911	0.623
ERBB2	CPNE3	9606.ENSP00000269571	9606.ENSP00000477590	0	0	0	0	0.062	0.270	0	0.917	0.938
NTRK1	ERBB2	9606.ENSP00000431418	9606.ENSP00000269571	0	0	0	0.602	0.091	0.377	0	0.911	0.623
NTRK1	CPNE3	9606.ENSP00000431418	9606.ENSP00000477590	0	0	0	0	0	0.078	0	0.459	0.480
RBM12B	UBE2O	9606.ENSP00000382239	9606.ENSP00000323687	0	0	0	0	0.063	0	0	0.648	0.656
RBM12B	CPNE3	9606.ENSP00000382239	9606.ENSP00000477590	0	0.001	0	0	0	0	0	0.665	0.665
SLC7A13	ATP6V0D2	9606.ENSP00000297524	9606.ENSP00000285393	0	0	0	0	0.062	0	0	0.500	0.511
SLC7A13	CNBD1	9606.ENSP00000297524	9606.ENSP00000430073	0	0	0	0	0	0	0	0.442	0.442
SLC7A13	CNGB3	9606.ENSP00000297524	9606.ENSP00000316605	0	0	0	0	0	0	0	0.501	0.501
SLC7A13	CPNE3	9606.ENSP00000297524	9606.ENSP00000477590	0	0	0	0	0	0	0	0.751	0.751
UBE2O	RBM12B	9606.ENSP00000323687	9606.ENSP00000382239	0	0	0	0	0.063	0	0	0.648	0.656
UBE2O	CPNE3	9606.ENSP00000323687	9606.ENSP00000477590	0	0	0	0	0.064	0.171	0	0.667	0.719
