#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BGLAP	MSX2	9606.ENSP00000357255	9606.ENSP00000239243	0	0	0	0	0	0	0	0.693	0.694
BGLAP	ESR1	9606.ENSP00000357255	9606.ENSP00000405330	0	0	0	0	0	0	0	0.571	0.571
BGLAP	CBFB	9606.ENSP00000357255	9606.ENSP00000415151	0	0	0	0	0	0	0.900	0.114	0.907
BGLAP	RUNX2	9606.ENSP00000357255	9606.ENSP00000360493	0	0	0	0	0	0.182	0.900	0.923	0.993
CBFB	MSX2	9606.ENSP00000415151	9606.ENSP00000239243	0	0	0	0	0	0	0.650	0.071	0.660
CBFB	TWIST1	9606.ENSP00000415151	9606.ENSP00000242261	0	0	0	0	0	0	0.650	0.045	0.651
CBFB	EP300	9606.ENSP00000415151	9606.ENSP00000263253	0	0	0	0	0	0	0.600	0.101	0.625
CBFB	HDAC4	9606.ENSP00000415151	9606.ENSP00000264606	0	0	0	0	0	0	0.600	0.055	0.605
CBFB	SMAD6	9606.ENSP00000415151	9606.ENSP00000288840	0	0	0	0	0	0	0.900	0.062	0.902
CBFB	SMAD3	9606.ENSP00000415151	9606.ENSP00000332973	0	0	0	0	0.049	0	0.900	0	0.900
CBFB	HDAC6	9606.ENSP00000415151	9606.ENSP00000334061	0	0	0	0	0	0	0.600	0	0.600
CBFB	BGLAP	9606.ENSP00000415151	9606.ENSP00000357255	0	0	0	0	0	0	0.900	0.114	0.907
CBFB	RUNX2	9606.ENSP00000415151	9606.ENSP00000360493	0	0	0	0	0.058	0.989	0.800	0.808	0.999
CBFB	ESR1	9606.ENSP00000415151	9606.ENSP00000405330	0	0	0	0	0	0.105	0.600	0.109	0.653
EP300	TWIST1	9606.ENSP00000263253	9606.ENSP00000242261	0	0	0	0	0	0.270	0	0.699	0.771
EP300	CBFB	9606.ENSP00000263253	9606.ENSP00000415151	0	0	0	0	0	0	0.600	0.101	0.625
EP300	HDAC4	9606.ENSP00000263253	9606.ENSP00000264606	0	0	0	0	0.062	0.171	0.650	0.688	0.903
