#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
BIN1,MYC,9606.ENSP00000316779,9606.ENSP00000479618,0,0,0,0,0.066,0.962,0,0.988,0.999
EP300,KAT2A,9606.ENSP00000263253,9606.ENSP00000225916,0,0,0,0,0.062,0.302,0.800,0.889,0.983
EP300,TRRAP,9606.ENSP00000263253,9606.ENSP00000352925,0,0,0,0,0.123,0.264,0,0.607,0.725
EP300,FBXW7,9606.ENSP00000263253,9606.ENSP00000281708,0,0,0,0,0.076,0,0.650,0.469,0.813
EP300,KAT5,9606.ENSP00000263253,9606.ENSP00000340330,0,0,0,0,0.085,0.378,0.300,0.876,0.944
EP300,MAX,9606.ENSP00000263253,9606.ENSP00000351490,0,0,0,0,0.062,0.695,0.900,0.300,0.977
EP300,ZBTB17,9606.ENSP00000263253,9606.ENSP00000364885,0,0,0,0,0,0.706,0.900,0.725,0.991
EP300,SKP2,9606.ENSP00000263253,9606.ENSP00000274255,0,0,0,0,0,0.675,0.900,0.836,0.994
EP300,MYC,9606.ENSP00000263253,9606.ENSP00000479618,0,0,0,0,0.062,0.780,0.900,0.987,0.999
EP300,SP1,9606.ENSP00000263253,9606.ENSP00000329357,0,0,0,0,0.125,0.916,0.900,0.974,0.999
FBXW7,KAT2A,9606.ENSP00000281708,9606.ENSP00000225916,0,0,0,0,0.085,0,0.650,0.185,0.716
FBXW7,EP300,9606.ENSP00000281708,9606.ENSP00000263253,0,0,0,0,0.076,0,0.650,0.469,0.813
FBXW7,SKP2,9606.ENSP00000281708,9606.ENSP00000274255,0,0,0,0,0.062,0,0.800,0.865,0.972
FBXW7,MAX,9606.ENSP00000281708,9606.ENSP00000351490,0,0,0,0,0,0.376,0.900,0.137,0.941
FBXW7,MYC,9606.ENSP00000281708,9606.ENSP00000479618,0,0,0,0,0,0.927,0.900,0.975,0.999
KAT2A,ZBTB17,9606.ENSP00000225916,9606.ENSP00000364885,0,0,0,0,0.065,0.126,0,0.326,0.401
KAT2A,FBXW7,9606.ENSP00000225916,9606.ENSP00000281708,0,0,0,0,0.085,0,0.650,0.185,0.716
KAT2A,MAX,9606.ENSP00000225916,9606.ENSP00000351490,0,0,0,0,0.062,0.518,0.900,0.181,0.958
