#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CBL	HBEGF	9606.ENSP00000264033	9606.ENSP00000230990	0	0	0	0	0	0	0.600	0.251	0.687
CBL	PLCG1	9606.ENSP00000264033	9606.ENSP00000244007	0	0	0	0	0.049	0.882	0.900	0.921	0.999
CBL	EREG	9606.ENSP00000264033	9606.ENSP00000244869	0	0	0	0	0	0	0.600	0.271	0.696
CBL	CDH1	9606.ENSP00000264033	9606.ENSP00000261769	0	0	0	0	0	0.097	0.360	0.408	0.628
CBL	STAT3	9606.ENSP00000264033	9606.ENSP00000264657	0	0	0	0	0.054	0.280	0	0.413	0.565
CBL	TGFA	9606.ENSP00000264033	9606.ENSP00000295400	0	0	0	0	0	0	0.600	0.086	0.618
CBL	HSP90AA1	9606.ENSP00000264033	9606.ENSP00000335153	0	0	0	0	0.049	0	0.600	0.382	0.744
CBL	EGF	9606.ENSP00000264033	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.737	0.972
CBL	EGFR	9606.ENSP00000264033	9606.ENSP00000275493	0	0	0	0	0	0.998	0.900	0.992	0.999
CDH1	HBEGF	9606.ENSP00000261769	9606.ENSP00000230990	0	0	0	0	0	0	0	0.463	0.463
CDH1	CBL	9606.ENSP00000261769	9606.ENSP00000264033	0	0	0	0	0	0.097	0.360	0.408	0.628
CDH1	HSP90AA1	9606.ENSP00000261769	9606.ENSP00000335153	0	0	0	0	0	0.417	0	0.460	0.671
CDH1	STAT3	9606.ENSP00000261769	9606.ENSP00000264657	0	0	0	0	0	0	0	0.718	0.718
CDH1	EGF	9606.ENSP00000261769	9606.ENSP00000265171	0	0	0	0	0	0.056	0.900	0.844	0.984
CDH1	EGFR	9606.ENSP00000261769	9606.ENSP00000275493	0	0	0	0	0.062	0.759	0.900	0.988	0.999
EGF	HBEGF	9606.ENSP00000265171	9606.ENSP00000230990	0	0	0	0	0	0	0.300	0.837	0.881
EGF	PLCG1	9606.ENSP00000265171	9606.ENSP00000244007	0	0	0	0	0	0.062	0.900	0.823	0.982
EGF	EREG	9606.ENSP00000265171	9606.ENSP00000244869	0	0	0	0.672	0	0.417	0.300	0.898	0.699
EGF	CDH1	9606.ENSP00000265171	9606.ENSP00000261769	0	0	0	0	0	0.056	0.900	0.844	0.984
EGF	CBL	9606.ENSP00000265171	9606.ENSP00000264033	0	0	0	0	0	0	0.900	0.737	0.972
EGF	STAT3	9606.ENSP00000265171	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.786	0.977
EGF	TGFA	9606.ENSP00000265171	9606.ENSP00000295400	0	0	0	0.681	0	0	0.800	0.516	0.831
