#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AURKA	RPA1	9606.ENSP00000216911	9606.ENSP00000254719	0	0	0	0	0.456	0	0	0.074	0.475
AURKA	CDK2	9606.ENSP00000216911	9606.ENSP00000266970	0	0	0.431	0.760	0.298	0.326	0	0.592	0.616
AURKA	MDM2	9606.ENSP00000216911	9606.ENSP00000258149	0	0	0	0	0	0.270	0	0.515	0.631
AURKA	EP300	9606.ENSP00000216911	9606.ENSP00000263253	0	0	0	0	0	0	0.650	0.217	0.714
AURKA	BARD1	9606.ENSP00000216911	9606.ENSP00000260947	0	0	0	0	0.250	0.282	0	0.539	0.730
AURKA	TP53	9606.ENSP00000216911	9606.ENSP00000269305	0	0	0	0	0.096	0.875	0.900	0.935	0.999
BARD1	AURKA	9606.ENSP00000260947	9606.ENSP00000216911	0	0	0	0	0.250	0.282	0	0.539	0.730
BARD1	UBE3A	9606.ENSP00000260947	9606.ENSP00000232165	0	0	0	0	0.065	0.296	0	0.306	0.503
BARD1	RPA1	9606.ENSP00000260947	9606.ENSP00000254719	0	0	0	0	0.171	0	0.600	0.398	0.783
BARD1	MDM2	9606.ENSP00000260947	9606.ENSP00000258149	0	0	0	0	0	0	0	0.512	0.512
BARD1	CDK2	9606.ENSP00000260947	9606.ENSP00000266970	0	0	0	0	0.121	0.346	0.900	0.273	0.952
BARD1	TP53	9606.ENSP00000260947	9606.ENSP00000269305	0	0	0	0	0.062	0.848	0.900	0.938	0.999
CDK2	SIRT1	9606.ENSP00000266970	9606.ENSP00000212015	0	0	0	0	0.062	0.142	0	0.599	0.650
CDK2	AURKA	9606.ENSP00000266970	9606.ENSP00000216911	0	0	0.431	0.760	0.298	0.326	0	0.592	0.616
CDK2	RPA1	9606.ENSP00000266970	9606.ENSP00000254719	0	0	0	0	0.233	0.506	0.600	0.316	0.882
CDK2	MDM2	9606.ENSP00000266970	9606.ENSP00000258149	0	0	0	0	0.051	0	0.900	0.727	0.971
CDK2	BARD1	9606.ENSP00000266970	9606.ENSP00000260947	0	0	0	0	0.121	0.346	0.900	0.273	0.952
CDK2	CREBBP	9606.ENSP00000266970	9606.ENSP00000262367	0	0	0	0	0.083	0.758	0	0.343	0.841
CDK2	EP300	9606.ENSP00000266970	9606.ENSP00000263253	0	0	0	0	0.062	0.757	0	0.502	0.876
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.095	0.790	0.900	0.970	0.999
CREBBP	SIRT1	9606.ENSP00000262367	9606.ENSP00000212015	0	0	0	0	0.066	0.213	0	0.682	0.746
CREBBP	DDX5	9606.ENSP00000262367	9606.ENSP00000225792	0	0	0	0	0.102	0.327	0	0.637	0.762
CREBBP	MDM2	9606.ENSP00000262367	9606.ENSP00000258149	0	0	0	0	0	0.866	0.900	0.856	0.997
CREBBP	CDK2	9606.ENSP00000262367	9606.ENSP00000266970	0	0	0	0	0.083	0.758	0	0.343	0.841
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0	0	0.957	0.835	0.805	0.900	0.989	0.996
